Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
04.03.2020 00:00:00;Niederösterreich;3;1684287;7;12;12;0,7124677;0;0;0;0
04.03.2020 00:00:00;Oberösterreich;4;1490279;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Salzburg;5;558410;1;2;2;0,3581598;0;0;0;0
04.03.2020 00:00:00;Steiermark;6;1246395;1;4;4;0,3209256;0;0;0;0
04.03.2020 00:00:00;Tirol;7;757634;2;2;2;0,2639797;0;0;0;0
04.03.2020 00:00:00;Vorarlberg;8;397139;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Wien;9;1911191;2;16;15;0,7848509;0;0;0;0
04.03.2020 00:00:00;Österreich;10;8901064;14;37;36;0,404446;0;0;0;0
05.03.2020 00:00:00;Burgenland;1;294436;0;0;0;0;0;0;0;0
05.03.2020 00:00:00;Kärnten;2;561293;1;2;2;0,3563201;0;0;0;0
05.03.2020 00:00:00;Niederösterreich;3;1684287;3;15;15;0,8905846;0;0;0;0
05.03.2020 00:00:00;Oberösterreich;4;1490279;0;0;0;0;0;0;0;0
05.03.2020 00:00:00;Salzburg;5;558410;1;3;3;0,5372397;0;0;0;0
05.03.2020 00:00:00;Steiermark;6;1246395;0;4;4;0,3209256;0;0;0;0
05.03.2020 00:00:00;Tirol;7;757634;2;4;4;0,5279594;0;0;2;2
05.03.2020 00:00:00;Vorarlberg;8;397139;1;1;1;0,251801;0;0;0;0
05.03.2020 00:00:00;Wien;9;1911191;1;17;14;0,7325275;0;0;0;0
05.03.2020 00:00:00;Österreich;10;8901064;9;46;43;0,4830883;0;0;2;2
06.03.2020 00:00:00;Burgenland;1;294436;4;4;4;1,35853;0;0;0;0
06.03.2020 00:00:00;Kärnten;2;561293;0;2;2;0,3563201;0;0;0;0
06.03.2020 00:00:00;Niederösterreich;3;1684287;7;22;20;1,187446;0;0;0;0
06.03.2020 00:00:00;Oberösterreich;4;1490279;1;1;1;0,06710153;0;0;0;0
06.03.2020 00:00:00;Salzburg;5;558410;0;3;3;0,5372397;0;0;0;0
06.03.2020 00:00:00;Steiermark;6;1246395;2;6;5;0,4011569;0;0;0;0
06.03.2020 00:00:00;Tirol;7;757634;3;7;7;0,923929;0;0;0;2
06.03.2020 00:00:00;Vorarlberg;8;397139;2;3;3;0,755403;0;0;0;0
06.03.2020 00:00:00;Wien;9;1911191;10;27;23;1,203438;0;0;0;0
06.03.2020 00:00:00;Österreich;10;8901064;29;75;68;0,7639536;0;0;0;2
07.03.2020 00:00:00;Burgenland;1;294436;0;4;4;1,35853;0;0;0;0
07.03.2020 00:00:00;Kärnten;2;561293;1;3;3;0,5344802;0;0;0;0
07.03.2020 00:00:00;Niederösterreich;3;1684287;7;29;27;1,603052;0;0;0;0
07.03.2020 00:00:00;Oberösterreich;4;1490279;6;7;7;0,4697107;0;0;0;0
07.03.2020 00:00:00;Salzburg;5;558410;2;5;5;0,8953995;0;0;0;0
07.03.2020 00:00:00;Steiermark;6;1246395;2;8;7;0,5616197;0;0;0;0
07.03.2020 00:00:00;Tirol;7;757634;1;8;8;1,055919;0;0;0;2
07.03.2020 00:00:00;Vorarlberg;8;397139;0;3;3;0,755403;0;0;0;0
07.03.2020 00:00:00;Wien;9;1911191;4;31;26;1,360408;0;0;0;0
07.03.2020 00:00:00;Österreich;10;8901064;23;98;90;1,011115;0;0;0;2
08.03.2020 00:00:00;Burgenland;1;294436;0;4;4;1,35853;0;0;0;0
08.03.2020 00:00:00;Kärnten;2;561293;0;3;3;0,5344802;0;0;0;0
08.03.2020 00:00:00;Niederösterreich;3;1684287;5;34;32;1,899914;0;0;0;0
08.03.2020 00:00:00;Oberösterreich;4;1490279;4;11;11;0,7381168;0;0;0;0
08.03.2020 00:00:00;Salzburg;5;558410;1;6;6;1,074479;0;0;0;0
08.03.2020 00:00:00;Steiermark;6;1246395;3;11;10;0,8023139;0;0;0;0
08.03.2020 00:00:00;Tirol;7;757634;13;21;21;2,771787;0;0;0;2
08.03.2020 00:00:00;Vorarlberg;8;397139;1;4;4;1,007204;0;0;0;0
08.03.2020 00:00:00;Wien;9;1911191;1;32;23;1,203438;0;0;0;0
08.03.2020 00:00:00;Österreich;10;8901064;28;126;114;1,280746;0;0;0;2
09.03.2020 00:00:00;Burgenland;1;294436;0;4;4;1,35853;0;0;0;0
09.03.2020 00:00:00;Kärnten;2;561293;0;3;3;0,5344802;0;0;0;0
09.03.2020 00:00:00;Niederösterreich;3;1684287;3;37;34;2,018658;0;0;0;0
09.03.2020 00:00:00;Oberösterreich;4;1490279;3;14;14;0,9394214;0;0;0;0
09.03.2020 00:00:00;Salzburg;5;558410;3;9;8;1,432639;0;0;0;0
09.03.2020 00:00:00;Steiermark;6;1246395;7;18;15;1,203471;0;0;0;0
09.03.2020 00:00:00;Tirol;7;757634;2;23;23;3,035767;0;0;0;2
09.03.2020 00:00:00;Vorarlberg;8;397139;1;5;5;1,259005;0;0;0;0
09.03.2020 00:00:00;Wien;9;1911191;3;35;25;1,308085;0;0;0;0
09.03.2020 00:00:00;Österreich;10;8901064;22;148;131;1,471734;0;0;0;2
10.03.2020 00:00:00;Burgenland;1;294436;0;4;4;1,35853;0;0;0;0
10.03.2020 00:00:00;Kärnten;2;561293;0;3;3;0,5344802;0;0;0;0
10.03.2020 00:00:00;Niederösterreich;3;1684287;6;43;38;2,256148;0;0;0;0
10.03.2020 00:00:00;Oberösterreich;4;1490279;16;30;30;2,013046;0;0;0;0
10.03.2020 00:00:00;Salzburg;5;558410;2;11;10;1,790799;0;0;1;1
10.03.2020 00:00:00;Steiermark;6;1246395;1;19;16;1,283702;0;0;0;0
10.03.2020 00:00:00;Tirol;7;757634;12;35;35;4,619645;0;0;0;2
10.03.2020 00:00:00;Vorarlberg;8;397139;9;14;14;3,525214;0;0;0;0
10.03.2020 00:00:00;Wien;9;1911191;9;44;30;1,569702;0;0;1;1
10.03.2020 00:00:00;Österreich;10;8901064;55;203;180;2,02223;0;0;2;4
11.03.2020 00:00:00;Burgenland;1;294436;2;6;6;2,037794;0;0;0;0
11.03.2020 00:00:00;Kärnten;2;561293;2;5;4;0,7126403;0;0;0;0
11.03.2020 00:00:00;Niederösterreich;3;1684287;8;51;39;2,31552;0;0;1;1
11.03.2020 00:00:00;Oberösterreich;4;1490279;27;57;57;3,824787;0;0;0;0
11.03.2020 00:00:00;Salzburg;5;558410;1;12;10;1,790799;0;0;0;1
11.03.2020 00:00:00;Steiermark;6;1246395;9;28;24;1,925553;0;0;0;0
11.03.2020 00:00:00;Tirol;7;757634;37;72;70;9,239289;0;0;0;2
11.03.2020 00:00:00;Vorarlberg;8;397139;3;17;17;4,280617;0;0;0;0
11.03.2020 00:00:00;Wien;9;1911191;20;64;48;2,511523;0;0;1;2
11.03.2020 00:00:00;Österreich;10;8901064;109;312;275;3,089518;0;0;2;6
12.03.2020 00:00:00;Burgenland;1;294436;1;7;7;2,377427;0;0;0;0
12.03.2020 00:00:00;Kärnten;2;561293;1;6;4;0,7126403;0;0;0;0
12.03.2020 00:00:00;Niederösterreich;3;1684287;4;55;40;2,374892;0;0;0;1
