time;Todesfälle;Timestamp
26.02.2020;0;2020-06-13T10:00:01
27.02.2020;0;2020-06-13T10:00:01
28.02.2020;0;2020-06-13T10:00:01
29.02.2020;0;2020-06-13T10:00:01
01.03.2020;0;2020-06-13T10:00:01
02.03.2020;0;2020-06-13T10:00:01
03.03.2020;0;2020-06-13T10:00:01
04.03.2020;0;2020-06-13T10:00:01
05.03.2020;0;2020-06-13T10:00:01
06.03.2020;0;2020-06-13T10:00:01
07.03.2020;0;2020-06-13T10:00:01
08.03.2020;0;2020-06-13T10:00:01
09.03.2020;0;2020-06-13T10:00:01
10.03.2020;0;2020-06-13T10:00:01
11.03.2020;0;2020-06-13T10:00:01
12.03.2020;1;2020-06-13T10:00:01
13.03.2020;1;2020-06-13T10:00:01
14.03.2020;2;2020-06-13T10:00:01
15.03.2020;3;2020-06-13T10:00:01
16.03.2020;5;2020-06-13T10:00:01
17.03.2020;7;2020-06-13T10:00:01
18.03.2020;11;2020-06-13T10:00:01
19.03.2020;14;2020-06-13T10:00:01
20.03.2020;19;2020-06-13T10:00:01
21.03.2020;23;2020-06-13T10:00:01
22.03.2020;31;2020-06-13T10:00:01
23.03.2020;43;2020-06-13T10:00:01
24.03.2020;53;2020-06-13T10:00:01
25.03.2020;62;2020-06-13T10:00:01
26.03.2020;78;2020-06-13T10:00:01
27.03.2020;96;2020-06-13T10:00:01
28.03.2020;113;2020-06-13T10:00:01
29.03.2020;127;2020-06-13T10:00:01
30.03.2020;147;2020-06-13T10:00:01
31.03.2020;164;2020-06-13T10:00:01
01.04.2020;175;2020-06-13T10:00:01
02.04.2020;194;2020-06-13T10:00:01
03.04.2020;211;2020-06-13T10:00:01
04.04.2020;231;2020-06-13T10:00:01
05.04.2020;252;2020-06-13T10:00:01
06.04.2020;278;2020-06-13T10:00:01
07.04.2020;304;2020-06-13T10:00:01
08.04.2020;322;2020-06-13T10:00:01
09.04.2020;342;2020-06-13T10:00:01
10.04.2020;365;2020-06-13T10:00:01
11.04.2020;380;2020-06-13T10:00:01
12.04.2020;392;2020-06-13T10:00:01
13.04.2020;413;2020-06-13T10:00:01
14.04.2020;425;2020-06-13T10:00:01
15.04.2020;440;2020-06-13T10:00:01
16.04.2020;462;2020-06-13T10:00:01
17.04.2020;475;2020-06-13T10:00:01
18.04.2020;490;2020-06-13T10:00:01
19.04.2020;505;2020-06-13T10:00:01
20.04.2020;512;2020-06-13T10:00:01
21.04.2020;529;2020-06-13T10:00:01
22.04.2020;540;2020-06-13T10:00:01
23.04.2020;544;2020-06-13T10:00:01
24.04.2020;550;2020-06-13T10:00:01
25.04.2020;563;2020-06-13T10:00:01
26.04.2020;572;2020-06-13T10:00:01
27.04.2020;575;2020-06-13T10:00:01
28.04.2020;587;2020-06-13T10:00:01
29.04.2020;592;2020-06-13T10:00:01
30.04.2020;597;2020-06-13T10:00:01
01.05.2020;599;2020-06-13T10:00:01
02.05.2020;601;2020-06-13T10:00:01
03.05.2020;606;2020-06-13T10:00:01
04.05.2020;608;2020-06-13T10:00:01
05.05.2020;611;2020-06-13T10:00:01
06.05.2020;614;2020-06-13T10:00:01
07.05.2020;615;2020-06-13T10:00:01
08.05.2020;620;2020-06-13T10:00:01
09.05.2020;622;2020-06-13T10:00:01
10.05.2020;624;2020-06-13T10:00:01
11.05.2020;625;2020-06-13T10:00:01
12.05.2020;626;2020-06-13T10:00:01
13.05.2020;627;2020-06-13T10:00:01
14.05.2020;629;2020-06-13T10:00:01
15.05.2020;629;2020-06-13T10:00:01
16.05.2020;630;2020-06-13T10:00:01
17.05.2020;630;2020-06-13T10:00:01
18.05.2020;632;2020-06-13T10:00:01
19.05.2020;633;2020-06-13T10:00:01
20.05.2020;636;2020-06-13T10:00:01
21.05.2020;638;2020-06-13T10:00:01
22.05.2020;639;2020-06-13T10:00:01
23.05.2020;640;2020-06-13T10:00:01
24.05.2020;640;2020-06-13T10:00:01
25.05.2020;641;2020-06-13T10:00:01
26.05.2020;643;2020-06-13T10:00:01
27.05.2020;643;2020-06-13T10:00:01
28.05.2020;643;2020-06-13T10:00:01
29.05.2020;644;2020-06-13T10:00:01
30.05.2020;644;2020-06-13T10:00:01
31.05.2020;644;2020-06-13T10:00:01
01.06.2020;645;2020-06-13T10:00:01
02.06.2020;645;2020-06-13T10:00:01
03.06.2020;646;2020-06-13T10:00:01
04.06.2020;648;2020-06-13T10:00:01
05.06.2020;648;2020-06-13T10:00:01
06.06.2020;648;2020-06-13T10:00:01
07.06.2020;649;2020-06-13T10:00:01
08.06.2020;649;2020-06-13T10:00:01
09.06.2020;649;2020-06-13T10:00:01
10.06.2020;650;2020-06-13T10:00:01
11.06.2020;650;2020-06-13T10:00:01
12.06.2020;650;2020-06-13T10:00:01
