Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;738;635,582272594175;305;2020-10-25T05:02:00
Baden;1107;757,166405614112;306;2020-10-25T05:02:00
Bludenz;696;1092,38158018646;801;2020-10-25T05:02:00
Braunau am Inn;560;536,357367251552;404;2020-10-25T05:02:00
Bregenz;1231;916,038487011006;802;2020-10-25T05:02:00
Bruck an der Leitha;793;777,374767179688;307;2020-10-25T05:02:00
Bruck-Mürzzuschlag;367;370,766992645276;621;2020-10-25T05:02:00
Deutschlandsberg;209;343,631311553575;603;2020-10-25T05:02:00
Dornbirn;1014;1138,80122640132;803;2020-10-25T05:02:00
Eferding;269;811,316202195681;405;2020-10-25T05:02:00
Eisenstadt(Stadt);73;498,736079797773;101;2020-10-25T05:02:00
Eisenstadt-Umgebung;228;531,134251170592;103;2020-10-25T05:02:00
Feldkirch;1129;1053,57459476106;804;2020-10-25T05:02:00
Feldkirchen;61;203,761231920366;210;2020-10-25T05:02:00
Freistadt;546;819,561399558698;406;2020-10-25T05:02:00
Gänserndorf;747;720,444418725768;308;2020-10-25T05:02:00
Gmünd;248;674,407853588231;309;2020-10-25T05:02:00
Gmunden;714;702,541547362517;407;2020-10-25T05:02:00
Graz(Stadt);2048;709,126541692347;601;2020-10-25T05:02:00
Graz-Umgebung;822;532,866588875924;606;2020-10-25T05:02:00
Grieskirchen;563;869,887671698521;408;2020-10-25T05:02:00
Güssing;135;523,316664728457;104;2020-10-25T05:02:00
Hallein;918;1520,52207904065;502;2020-10-25T05:02:00
Hartberg-Fürstenfeld;590;651,056034958399;622;2020-10-25T05:02:00
Hermagor;84;460,930640913082;203;2020-10-25T05:02:00
Hollabrunn;178;349,994101223013;310;2020-10-25T05:02:00
Horn;151;485,686715985848;311;2020-10-25T05:02:00
Imst;749;1247,16930864526;702;2020-10-25T05:02:00
Innsbruck-Land;1971;1099,16461258769;703;2020-10-25T05:02:00
Innsbruck-Stadt;2343;1773,52206494588;701;2020-10-25T05:02:00
Jennersdorf;41;240,243759521856;105;2020-10-25T05:02:00
Kirchdorf an der Krems;234;411,493686913094;409;2020-10-25T05:02:00
Kitzbühel;578;904,80737621515;704;2020-10-25T05:02:00
Klagenfurt Land;182;304,347826086957;204;2020-10-25T05:02:00
Klagenfurt Stadt;469;465,199321542994;201;2020-10-25T05:02:00
Korneuburg;775;852,688444146156;312;2020-10-25T05:02:00
Krems an der Donau(Stadt);205;824,087473870397;301;2020-10-25T05:02:00
Krems(Land);467;825,146653473744;313;2020-10-25T05:02:00
Kufstein;1338;1219,890228114;705;2020-10-25T05:02:00
Landeck;1379;3108,51629773229;706;2020-10-25T05:02:00
Leibnitz;467;566,170408806556;610;2020-10-25T05:02:00
Leoben;313;521,145521145521;611;2020-10-25T05:02:00
Lienz;267;547,658605624269;707;2020-10-25T05:02:00
Liezen (inkl. Gröbming);404;505,625711818375;612;2020-10-25T05:02:00
Lilienfeld;198;767,085076708508;314;2020-10-25T05:02:00
Linz(Stadt);2144;1042,16287683618;401;2020-10-25T05:02:00
Linz-Land;1364;907,681353270381;410;2020-10-25T05:02:00
Mattersburg;227;568,566061365059;106;2020-10-25T05:02:00
Melk;515;660,578230419948;315;2020-10-25T05:02:00
Mistelbach;470;622,656757150617;316;2020-10-25T05:02:00
Mödling;1030;865,560765727155;317;2020-10-25T05:02:00
Murau;52;188,003904696482;614;2020-10-25T05:02:00
Murtal;278;386,089661685462;620;2020-10-25T05:02:00
Neunkirchen;674;781,077980322397;318;2020-10-25T05:02:00
Neusiedl am See;418;701,907576571736;107;2020-10-25T05:02:00
Oberpullendorf;183;487,830885293098;108;2020-10-25T05:02:00
Oberwart;398;736,001183519491;109;2020-10-25T05:02:00
Perg;596;870,594078207394;411;2020-10-25T05:02:00
Reutte;183;560,146923783287;708;2020-10-25T05:02:00
Ried im Innkreis;655;1070,19149075224;412;2020-10-25T05:02:00
Rohrbach;568;1004,88288160781;413;2020-10-25T05:02:00
