Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4830;4159,70511738464;305;2020-12-09T10:02:00
Baden;3651;2497,21277949153;306;2020-12-09T10:02:00
Bludenz;2518;3952,03565935273;801;2020-12-09T10:02:00
Braunau am Inn;3614;3461,42058079841;404;2020-12-09T10:02:00
Bregenz;5411;4026,55097743018;802;2020-12-09T10:02:00
Bruck an der Leitha;2376;2329,18341339084;307;2020-12-09T10:02:00
Bruck-Mürzzuschlag;3024;3055,03919825426;621;2020-12-09T10:02:00
Deutschlandsberg;1280;2104,5362621463;603;2020-12-09T10:02:00
Dornbirn;4354;4889,8821891039;803;2020-12-09T10:02:00
Eferding;1873;5649,05296175655;405;2020-12-09T10:02:00
Eisenstadt(Stadt);415;2835,28045364487;101;2020-12-09T10:02:00
Eisenstadt-Umgebung;1076;2506,5809397349;103;2020-12-09T10:02:00
Feldkirch;4517;4215,23157177652;804;2020-12-09T10:02:00
Feldkirchen;924;3086,48161138391;210;2020-12-09T10:02:00
Freistadt;3169;4756,75837948995;406;2020-12-09T10:02:00
Gänserndorf;1829;1763,97970796443;308;2020-12-09T10:02:00
Gmünd;1253;3407,39129252441;309;2020-12-09T10:02:00
Gmunden;3615;3556,98556542787;407;2020-12-09T10:02:00
Graz(Stadt);7951;2753,05914697063;601;2020-12-09T10:02:00
Graz-Umgebung;3889;2521,06832620252;606;2020-12-09T10:02:00
Grieskirchen;3348;5172,97322352868;408;2020-12-09T10:02:00
Güssing;778;3015,8545567314;104;2020-12-09T10:02:00
Hallein;3004;4975,65177062974;502;2020-12-09T10:02:00
Hartberg-Fürstenfeld;3005;3315,97183906778;622;2020-12-09T10:02:00
Hermagor;594;3259,43810359965;203;2020-12-09T10:02:00
Hollabrunn;1045;2054,74065043848;310;2020-12-09T10:02:00
Horn;508;1633,96590543583;311;2020-12-09T10:02:00
Imst;2488;4142,8000532836;702;2020-12-09T10:02:00
Innsbruck-Land;7833;4368,21735687438;703;2020-12-09T10:02:00
Innsbruck-Stadt;5900;4465,97532359397;701;2020-12-09T10:02:00
Jennersdorf;549;3216,92253603656;105;2020-12-09T10:02:00
Kirchdorf an der Krems;1898;3337,67101607287;409;2020-12-09T10:02:00
Kitzbühel;2288;3581,65964840876;704;2020-12-09T10:02:00
Klagenfurt Land;1762;2946,48829431438;204;2020-12-09T10:02:00
Klagenfurt Stadt;3281;3254,41145838499;201;2020-12-09T10:02:00
