Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;2524;2173,72582117574;305;2020-11-14T10:02:00
Baden;2402;1642,92114388898;306;2020-11-14T10:02:00
Bludenz;1670;2621,08798694165;801;2020-11-14T10:02:00
Braunau am Inn;1886;1806,37499042219;404;2020-11-14T10:02:00
Bregenz;3772;2806,90265881845;802;2020-11-14T10:02:00
Bruck an der Leitha;1542;1511,61650818547;307;2020-11-14T10:02:00
Bruck-Mürzzuschlag;1657;1674,007920472;621;2020-11-14T10:02:00
Deutschlandsberg;777;1277,519277881;603;2020-11-14T10:02:00
Dornbirn;3192;3584,86539908581;803;2020-11-14T10:02:00
Eferding;1149;3465,43612015925;405;2020-11-14T10:02:00
Eisenstadt(Stadt);272;1858,30429732869;101;2020-11-14T10:02:00
Eisenstadt-Umgebung;714;1663,28883919212;103;2020-11-14T10:02:00
Feldkirch;2943;2746,38621114419;804;2020-11-14T10:02:00
Feldkirchen;425;1419,64792731403;210;2020-11-14T10:02:00
Freistadt;2033;3051,59033938248;406;2020-11-14T10:02:00
Gänserndorf;1330;1282,71897845418;308;2020-11-14T10:02:00
Gmünd;774;2104,80515595682;309;2020-11-14T10:02:00
Gmunden;2391;2352,62862709213;407;2020-11-14T10:02:00
Graz(Stadt);5115;1771,08508825994;601;2020-11-14T10:02:00
Graz-Umgebung;2259;1464,41073512252;606;2020-11-14T10:02:00
Grieskirchen;2023;3125,7242626041;408;2020-11-14T10:02:00
Güssing;511;1980,85048649068;104;2020-11-14T10:02:00
Hallein;1898;3143,73737039123;502;2020-11-14T10:02:00
Hartberg-Fürstenfeld;1829;2018,27370837104;622;2020-11-14T10:02:00
Hermagor;319;1750,43898156277;203;2020-11-14T10:02:00
Hollabrunn;710;1396,04388690078;310;2020-11-14T10:02:00
Horn;344;1106,46510131875;311;2020-11-14T10:02:00
Imst;1605;2672,50566138271;702;2020-11-14T10:02:00
Innsbruck-Land;5084;2835,1866516468;703;2020-11-14T10:02:00
Innsbruck-Stadt;4483;3393,38430096132;701;2020-11-14T10:02:00
Jennersdorf;358;2097,73819289816;105;2020-11-14T10:02:00
Kirchdorf an der Krems;1050;1846,44603102029;409;2020-11-14T10:02:00
Kitzbühel;1479;2315,24240384465;704;2020-11-14T10:02:00
Klagenfurt Land;853;1426,42140468227;204;2020-11-14T10:02:00
Klagenfurt Stadt;1782;1767,55904262178;201;2020-11-14T10:02:00
Korneuburg;1568;1725,18126505958;312;2020-11-14T10:02:00
Krems an der Donau(Stadt);517;2078,30840971217;301;2020-11-14T10:02:00
Krems(Land);1163;2054,9155417344;313;2020-11-14T10:02:00
Kufstein;3546;3232,98262249047;705;2020-11-14T10:02:00
Landeck;1818;4098,10197917136;706;2020-11-14T10:02:00
Leibnitz;1620;1964,01726395422;610;2020-11-14T10:02:00
Leoben;1021;1699,9666999667;611;2020-11-14T10:02:00
Lienz;928;1903,47260681394;707;2020-11-14T10:02:00
Liezen (inkl. Gröbming);1455;1821,00349182113;612;2020-11-14T10:02:00
Lilienfeld;553;2142,4143809081;314;2020-11-14T10:02:00
Linz(Stadt);4972;2416,80682072271;401;2020-11-14T10:02:00
Linz-Land;3571;2376,34172472766;410;2020-11-14T10:02:00
Mattersburg;610;1527,8647463995;106;2020-11-14T10:02:00
Melk;1297;1663,63099971781;315;2020-11-14T10:02:00
Mistelbach;886;1173,77422730946;316;2020-11-14T10:02:00
Mödling;2080;1747,92853661406;317;2020-11-14T10:02:00
Murau;303;1095,48429082758;614;2020-11-14T10:02:00
Murtal;1005;1395,75579134493;620;2020-11-14T10:02:00
Neunkirchen;1373;1591,12769581996;318;2020-11-14T10:02:00
Neusiedl am See;846;1420,60720042988;107;2020-11-14T10:02:00
Oberpullendorf;739;1969,98373897049;108;2020-11-14T10:02:00
Oberwart;1179;2180,26481248613;109;2020-11-14T10:02:00
Perg;1940;2833,81293913145;411;2020-11-14T10:02:00
Reutte;480;1469,2378328742;708;2020-11-14T10:02:00
Ried im Innkreis;2176;3555,32318149141;412;2020-11-14T10:02:00
Rohrbach;2346;4150,44936664072;413;2020-11-14T10:02:00
Rust(Stadt);32;1649,48453608247;102;2020-11-14T10:02:00
Salzburg(Stadt);2940;1906,47878556004;501;2020-11-14T10:02:00
Salzburg-Umgebung;3672;2411,33168287574;503;2020-11-14T10:02:00
Sankt Johann im Pongau;2958;3671,20499422884;504;2020-11-14T10:02:00
Sankt Pölten(Land);2234;1704,77091663869;319;2020-11-14T10:02:00
Sankt Pölten(Stadt);1096;1991,13436523508;302;2020-11-14T10:02:00
Sankt Veit an der Glan;867;1589,22188616992;205;2020-11-14T10:02:00
Schärding;1774;3095,60786640376;414;2020-11-14T10:02:00
Scheibbs;892;2154,43325362896;320;2020-11-14T10:02:00
Schwaz;4140;4936,03424224721;709;2020-11-14T10:02:00
Spittal an der Drau;562;738,589320681815;206;2020-11-14T10:02:00
Steyr(Stadt);888;2325,03338308067;402;2020-11-14T10:02:00
Steyr-Land;1661;2748,7712446423;415;2020-11-14T10:02:00
Südoststeiermark;1562;1817,39909479098;623;2020-11-14T10:02:00
Tamsweg;531;2613,18897637795;505;2020-11-14T10:02:00
Tulln;1804;1738,44330304228;321;2020-11-14T10:02:00
Urfahr-Umgebung;2781;3252,44137769721;416;2020-11-14T10:02:00
Villach Land;813;1257,19057339024;207;2020-11-14T10:02:00
Villach Stadt;830;1333,48328326077;202;2020-11-14T10:02:00
Vöcklabruck;3440;2524,71505214564;417;2020-11-14T10:02:00
Voitsberg;945;1847,11010339907;616;2020-11-14T10:02:00
Völkermarkt;870;2077,46310712068;208;2020-11-14T10:02:00
Waidhofen an der Thaya;512;1977,75030902349;322;2020-11-14T10:02:00
Waidhofen an der Ybbs(Stadt);204;1811,56202823906;303;2020-11-14T10:02:00
Weiz;1397;1546,32899062462;617;2020-11-14T10:02:00
Wels(Stadt);1756;2844,784292125;403;2020-11-14T10:02:00
Wels-Land;1622;2219,06038799354;418;2020-11-14T10:02:00
Wien(Stadt);47600;2508,57579825148;900;2020-11-14T10:02:00
Wiener Neustadt(Land);1122;1438,62753394622;323;2020-11-14T10:02:00
Wiener Neustadt(Stadt);986;2177,70612010513;304;2020-11-14T10:02:00
Wolfsberg;784;1486,9324431969;209;2020-11-14T10:02:00
Zell am See;1798;2055,74992568201;506;2020-11-14T10:02:00
Zwettl;736;1743,16706930036;325;2020-11-14T10:02:00
