Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;211;0;73
Rust(Stadt);102;1980;19;0;9
Eisenstadt-Umgebung;103;43236;556;4;165
Güssing;104;25699;333;0;113
Jennersdorf;105;17097;229;2;110
Mattersburg;106;40042;479;3;143
Neusiedl am See;107;59990;712;10;165
Oberpullendorf;108;37384;568;2;221
Oberwart;109;54192;937;15;265
Klagenfurt Stadt;201;101300;1079;23;351
Villach Stadt;202;62882;611;1;298
Hermagor;203;18054;235;0;90
Klagenfurt Land;204;60014;520;2;223
Sankt Veit an der Glan;205;54186;510;1;177
Spittal an der Drau;206;75868;327;1;114
Villach Land;207;64618;491;4;215
Völkermarkt;208;41862;493;3;175
Wolfsberg;209;52607;469;3;196
Feldkirchen;210;29902;257;1;113
Krems an der Donau(Stadt);301;25036;380;6;115
Sankt Pölten(Stadt);302;55514;893;8;246
Waidhofen an der Ybbs(Stadt);303;11222;135;3;51
Wiener Neustadt(Stadt);304;45823;808;0;151
Amstetten;305;116520;1807;25;676
Baden;306;146751;1964;10;514
Bruck an der Leitha;307;103735;1287;5;260
Gänserndorf;308;104782;1115;7;239
Gmünd;309;36553;622;4;209
Hollabrunn;310;51033;516;2;215
Horn;311;30936;275;5;76
Korneuburg;312;91254;1286;7;290
Krems(Land);313;56487;936;9;284
Lilienfeld;314;25655;425;6;121
Melk;315;78191;992;6;310
Mistelbach;316;75625;708;12;154
Mödling;317;119115;1762;14;453
Neunkirchen;318;86343;1161;12;265
Sankt Pölten(Land);319;131729;1803;15;533
Scheibbs;320;41414;609;2;265
Tulln;321;104593;1478;7;415
Waidhofen an der Thaya;322;25682;442;2;98
Wiener Neustadt(Land);323;78307;887;10;225
Zwettl;325;41987;601;3;160
Linz(Stadt);401;206595;3928;39;1116
Steyr(Stadt);402;38056;684;2;216
Wels(Stadt);403;62470;1425;8;360
Braunau am Inn;404;105553;1369;11;515
Eferding;405;33178;870;7;331
Freistadt;406;66861;1485;16;584
Gmunden;407;101859;1845;4;645
Grieskirchen;408;64875;1525;3;525
Kirchdorf an der Krems;409;57071;736;5;355
Linz-Land;410;151371;2706;13;841
Perg;411;68968;1377;7;515
Ried im Innkreis;412;61690;1539;8;553
Rohrbach;413;56545;1605;6;628
Schärding;414;57391;1369;4;541
Steyr-Land;415;60717;1176;17;435
Urfahr-Umgebung;416;86005;1932;9;816
Vöcklabruck;417;137297;2485;9;924
Wels-Land;418;73777;1184;4;410
Salzburg(Stadt);501;155021;2185;5;689
Hallein;502;60824;1525;8;358
Salzburg-Umgebung;503;153492;2764;17;905
Sankt Johann im Pongau;504;81194;2295;19;697
Tamsweg;505;20251;361;2;179
Zell am See;506;87628;1309;9;355
Graz(Stadt);601;291072;3876;52;1126
Deutschlandsberg;603;60867;589;3;244
Graz-Umgebung;606;156070;1731;52;552
Leibnitz;610;84756;1245;17;446
Leoben;611;59700;745;11;253
Liezen;612;79652;1123;5;426
Murau;614;27543;196;0;105
Voitsberg;616;51044;643;15;179
Weiz;617;90654;1065;21;323
Murtal;620;71698;703;5;259
Bruck-Mürzzuschlag;621;98697;1125;27;483
Hartberg-Fürstenfeld;622;90606;1342;53;453
Südoststeiermark;623;84036;1099;6;475
Innsbruck-Stadt;701;131961;3700;22;667
Imst;702;60474;1275;6;337
Innsbruck-Land;703;180453;3926;15;1058
Kitzbühel;704;64168;1158;13;363
Kufstein;705;110287;2622;39;734
Landeck;706;44386;1631;18;184
Lienz;707;48738;608;6;213
Reutte;708;32838;369;2;136
Schwaz;709;84329;3073;22;949
Bludenz;801;64107;1299;7;373
Bregenz;802;134987;2753;16;958
Dornbirn;803;89912;2458;13;857
Feldkirch;804;108133;2249;9;679
Wien;900;1911191;38535;400;5169
