Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;6726;2.28;7998;2.72;294436;1
Kärnten;15017;2.68;20849;3.71;561293;2
Niederösterreich;41395;2.46;50206;2.98;1684287;3
Oberösterreich;37798;2.54;59254;3.98;1490279;4
Salzburg;15199;2.72;18121;3.25;558410;5
Steiermark;35138;2.82;60905;4.89;1246395;6
Tirol;22314;2.95;27816;3.67;757634;7
Vorarlberg;13985;3.52;16601;4.18;397139;8
Wien;54511;2.85;64375;3.37;1911191;9
Österreich;242083;2.72;326125;3.66;8901064;10
Stand;2021-02-02 18:00;2021-02-02 18:00;2021-02-02 18:00;2021-02-02 18:00;2020-01-01 00:00;
