Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;550;10;13
Rust(Stadt);102;1980;61;0;1
Eisenstadt-Umgebung;103;43236;1339;19;39
Güssing;104;25699;1089;18;67
Jennersdorf;105;17097;682;17;18
Mattersburg;106;40042;1277;21;33
Neusiedl am See;107;59990;1840;28;80
Oberpullendorf;108;37384;1454;19;32
Oberwart;109;54192;1977;51;35
Klagenfurt Stadt;201;101300;4125;131;104
Villach Stadt;202;62882;2220;53;49
Hermagor;203;18054;1084;16;59
Klagenfurt Land;204;60014;2578;33;119
Sankt Veit an der Glan;205;54186;2690;81;104
Spittal an der Drau;206;75868;2613;43;277
Villach Land;207;64618;2541;62;93
Völkermarkt;208;41862;2473;47;50
Wolfsberg;209;52607;2483;64;51
Feldkirchen;210;29902;1467;37;53
Krems an der Donau(Stadt);301;25036;917;30;22
Sankt Pölten(Stadt);302;55514;2336;33;62
Waidhofen an der Ybbs(Stadt);303;11222;583;9;28
Wiener Neustadt(Stadt);304;45823;1815;46;83
Amstetten;305;116520;6789;109;188
Baden;306;146751;4975;73;227
Bruck an der Leitha;307;103735;3072;58;89
Gänserndorf;308;104782;2646;28;121
Gmünd;309;36553;1612;33;49
Hollabrunn;310;51033;1234;26;21
Horn;311;30936;659;10;27
Korneuburg;312;91254;2465;33;81
Krems(Land);313;56487;2079;27;61
Lilienfeld;314;25655;1005;29;24
Melk;315;78191;3377;73;93
Mistelbach;316;75625;1725;28;81
Mödling;317;119115;3638;82;114
Neunkirchen;318;86343;3130;66;105
Sankt Pölten(Land);319;131729;4541;85;106
Scheibbs;320;41414;2253;25;99
Tulln;321;104593;3304;47;156
Waidhofen an der Thaya;322;25682;906;13;24
Wiener Neustadt(Land);323;78307;2449;42;107
Zwettl;325;41987;1984;19;123
Linz(Stadt);401;206595;9093;180;182
Steyr(Stadt);402;38056;1645;18;24
Wels(Stadt);403;62470;3237;52;61
Braunau am Inn;404;105553;4828;61;162
Eferding;405;33178;2102;27;32
Freistadt;406;66861;3824;79;71
Gmunden;407;101859;5113;84;177
Grieskirchen;408;64875;3993;58;87
Kirchdorf an der Krems;409;57071;2670;59;80
Linz-Land;410;151371;6726;75;124
Perg;411;68968;3813;50;77
Ried im Innkreis;412;61690;3906;79;120
Rohrbach;413;56545;4098;89;92
Schärding;414;57391;3863;59;83
Steyr-Land;415;60717;3193;60;46
Urfahr-Umgebung;416;86005;4766;66;50
Vöcklabruck;417;137297;7133;121;154
Wels-Land;418;73777;3292;46;78
Salzburg(Stadt);501;155021;7202;84;313
Hallein;502;60824;4408;37;187
Salzburg-Umgebung;503;153492;7969;80;293
Sankt Johann im Pongau;504;81194;6010;81;274
Tamsweg;505;20251;1721;31;138
Zell am See;506;87628;4964;84;187
Graz(Stadt);601;291072;9661;214;279
Deutschlandsberg;603;60867;2124;68;77
Graz-Umgebung;606;156070;5164;201;138
Leibnitz;610;84756;3346;72;137
Leoben;611;59700;2188;82;61
Liezen;612;79652;3488;80;218
Murau;614;27543;1139;18;60
Voitsberg;616;51044;2062;77;74
Weiz;617;90654;3000;106;69
Murtal;620;71698;3081;125;116
Bruck-Mürzzuschlag;621;98697;3924;182;117
Hartberg-Fürstenfeld;622;90606;3987;144;100
Südoststeiermark;623;84036;3326;121;141
Innsbruck-Stadt;701;131961;6595;81;83
Imst;702;60474;3202;31;47
Innsbruck-Land;703;180453;9470;116;124
Kitzbühel;704;64168;3072;33;111
Kufstein;705;110287;6642;115;77
Landeck;706;44386;2789;33;43
Lienz;707;48738;2837;39;94
Reutte;708;32838;1115;3;52
Schwaz;709;84329;7050;107;98
Bludenz;801;64107;3026;38;73
Bregenz;802;134987;6566;86;142
Dornbirn;803;89912;5410;49;106
Feldkirch;804;108133;5737;66;165
Wien;900;1911191;77669;1297;2199
