Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;333;286,787122999811;305;2020-08-21T09:00:00
Baden;282;192,882498991129;306;2020-08-21T09:00:00
Bludenz;305;478,701698213893;801;2020-08-21T09:00:00
Braunau am Inn;199;190,598421576891;404;2020-08-21T09:00:00
Bregenz;311;231,42808242114;802;2020-08-21T09:00:00
Bruck an der Leitha;184;180,374473090873;307;2020-08-21T09:00:00
Bruck-Mürzzuschlag;86;86,8827285217813;621;2020-08-21T09:00:00
Deutschlandsberg;54;88,7851235592969;603;2020-08-21T09:00:00
Dornbirn;180;202,154063858223;803;2020-08-21T09:00:00
Eferding;99;298,588490770901;405;2020-08-21T09:00:00
Eisenstadt(Stadt);21;143,472022955524;101;2020-08-21T09:00:00
Eisenstadt-Umgebung;40;93,181447573788;103;2020-08-21T09:00:00
Feldkirch;250;233,29818307375;804;2020-08-21T09:00:00
Feldkirchen;23;76,8280054781708;210;2020-08-21T09:00:00
Freistadt;148;222,152174239354;406;2020-08-21T09:00:00
Gänserndorf;168;162,027660436317;308;2020-08-21T09:00:00
Gmünd;17;46,2295706088706;309;2020-08-21T09:00:00
Gmunden;170;167,271796991076;407;2020-08-21T09:00:00
Graz(Stadt);675;233,720906075359;601;2020-08-21T09:00:00
Graz-Umgebung;285;184,753014391287;606;2020-08-21T09:00:00
Grieskirchen;104;160,689729763137;408;2020-08-21T09:00:00
Güssing;34;131,798271116797;104;2020-08-21T09:00:00
Hallein;100;165,634213403121;502;2020-08-21T09:00:00
Hartberg-Fürstenfeld;324;357,529076824612;622;2020-08-21T09:00:00
Hermagor;5;27,4363476733977;203;2020-08-21T09:00:00
Hollabrunn;51;100,27920877738;310;2020-08-21T09:00:00
Horn;98;315,213895143133;311;2020-08-21T09:00:00
Imst;307;511,189556414014;702;2020-08-21T09:00:00
Innsbruck-Land;449;250,393156292174;703;2020-08-21T09:00:00
Innsbruck-Stadt;564;426,91696313678;701;2020-08-21T09:00:00
Jennersdorf;11;64,4556427985468;105;2020-08-21T09:00:00
Kirchdorf an der Krems;86;151,23272254071;409;2020-08-21T09:00:00
Kitzbühel;389;608,944756656909;704;2020-08-21T09:00:00
Klagenfurt Land;63;105,351170568562;204;2020-08-21T09:00:00
Klagenfurt Stadt;156;154,735808445004;201;2020-08-21T09:00:00
Korneuburg;225;247,55470959082;312;2020-08-21T09:00:00
Krems an der Donau(Stadt);47;188,937128155652;301;2020-08-21T09:00:00
Krems(Land);190;335,712771220581;313;2020-08-21T09:00:00
Kufstein;575;524,242811035539;705;2020-08-21T09:00:00
Landeck;1024;2308,2818628556;706;2020-08-21T09:00:00
Leibnitz;196;237,621841811745;610;2020-08-21T09:00:00
Leoben;51;84,9150849150849;611;2020-08-21T09:00:00
Lienz;163;334,338399688224;707;2020-08-21T09:00:00
Liezen (inkl. Gröbming);118;147,682757412298;612;2020-08-21T09:00:00
Lilienfeld;56;216,953355028669;314;2020-08-21T09:00:00
Linz(Stadt);863;419,490001263817;401;2020-08-21T09:00:00
Linz-Land;613;407,924244541601;410;2020-08-21T09:00:00
Mattersburg;84;210,394489668128;106;2020-08-21T09:00:00
Melk;198;253,969882763398;315;2020-08-21T09:00:00
Mistelbach;163;215,942662586278;316;2020-08-21T09:00:00
Mödling;269;226,054219398645;317;2020-08-21T09:00:00
Murau;12;43,385516468419;614;2020-08-21T09:00:00
Murtal;74;102,772068218432;620;2020-08-21T09:00:00
Neunkirchen;245;283,923004716598;318;2020-08-21T09:00:00
Neusiedl am See;77;129,29876410532;107;2020-08-21T09:00:00
Oberpullendorf;32;85,3037613627276;108;2020-08-21T09:00:00
Oberwart;154;284,784377542718;109;2020-08-21T09:00:00
Perg;383;559,458946230591;411;2020-08-21T09:00:00
