Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;407;11;1;2020-08-14T13:00:00
Kärnten;458;13;2;2020-08-14T13:00:00
Niederösterreich;3274;115;3;2020-08-14T13:00:00
Oberösterreich;3652;63;4;2020-08-14T13:00:00
Salzburg;1333;37;5;2020-08-14T13:00:00
Steiermark;1934;143;6;2020-08-14T13:00:00
Tirol;3601;101;7;2020-08-14T13:00:00
Vorarlberg;946;19;8;2020-08-14T13:00:00
Wien;4894;211;9;2020-08-14T13:00:00
