Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4508;3882,39144289233;305;2020-12-05T03:02:00
Baden;3471;2374,09629077379;306;2020-12-05T03:02:00
Bludenz;2400;3766,83303512572;801;2020-12-05T03:02:00
Braunau am Inn;3474;3327,33123898552;404;2020-12-05T03:02:00
Bregenz;5253;3908,97658185931;802;2020-12-05T03:02:00
Bruck an der Leitha;2232;2188,02078227625;307;2020-12-05T03:02:00
Bruck-Mürzzuschlag;2892;2921,68431261618;621;2020-12-05T03:02:00
Deutschlandsberg;1210;1989,44443531017;603;2020-12-05T03:02:00
Dornbirn;4197;4713,55892229422;803;2020-12-05T03:02:00
Eferding;1821;5492,21860296779;405;2020-12-05T03:02:00
Eisenstadt(Stadt);405;2766,96044271367;101;2020-12-05T03:02:00
Eisenstadt-Umgebung;1044;2432,03578167587;103;2020-12-05T03:02:00
Feldkirch;4311;4022,99386892375;804;2020-12-05T03:02:00
Feldkirchen;864;2886,06072752781;210;2020-12-05T03:02:00
Freistadt;3082;4626,16892571411;406;2020-12-05T03:02:00
Gänserndorf;1755;1692,61038134367;308;2020-12-05T03:02:00
Gmünd;1169;3178,96282598646;309;2020-12-05T03:02:00
Gmunden;3508;3451,70272849819;407;2020-12-05T03:02:00
Graz(Stadt);7606;2633,60179497656;601;2020-12-05T03:02:00
Graz-Umgebung;3727;2416,05082328536;606;2020-12-05T03:02:00
Grieskirchen;3263;5041,64027131843;408;2020-12-05T03:02:00
Güssing;755;2926,69690274063;104;2020-12-05T03:02:00
Hallein;2901;4805,04853082453;502;2020-12-05T03:02:00
Hartberg-Fürstenfeld;2888;3186,86411688111;622;2020-12-05T03:02:00
Hermagor;554;3039,94732221247;203;2020-12-05T03:02:00
Hollabrunn;1026;2017,38172952141;310;2020-12-05T03:02:00
Horn;475;1527,82245094886;311;2020-12-05T03:02:00
Imst;2384;3969,62834687625;702;2020-12-05T03:02:00
Innsbruck-Land;7568;4220,43520449704;703;2020-12-05T03:02:00
Innsbruck-Stadt;5804;4393,30860646431;701;2020-12-05T03:02:00
Jennersdorf;533;3123,16887378413;105;2020-12-05T03:02:00
Kirchdorf an der Krems;1822;3204,02349382759;409;2020-12-05T03:02:00
Kitzbühel;2202;3447,03432945633;704;2020-12-05T03:02:00
Klagenfurt Land;1691;2827,75919732441;204;2020-12-05T03:02:00
Klagenfurt Stadt;3129;3103,64323477191;201;2020-12-05T03:02:00
Korneuburg;2020;2222,49117054869;312;2020-12-05T03:02:00
Krems an der Donau(Stadt);798;3207,91123974916;301;2020-12-05T03:02:00
Krems(Land);1677;2963,10693335218;313;2020-12-05T03:02:00
Kufstein;5517;5029,99580605751;705;2020-12-05T03:02:00
Landeck;2156;4860,01532843425;706;2020-12-05T03:02:00
Leibnitz;2495;3024,82905775666;610;2020-12-05T03:02:00
Leoben;1669;2778,88777888778;611;2020-12-05T03:02:00
Lienz;2050;4204,86944393166;707;2020-12-05T03:02:00
Liezen (inkl. Gröbming);2317;2899,83855020588;612;2020-12-05T03:02:00
Lilienfeld;784;3037,34697040136;314;2020-12-05T03:02:00
Linz(Stadt);7306;3551,32554951732;401;2020-12-05T03:02:00
Linz-Land;5478;3645,36543490847;410;2020-12-05T03:02:00
Mattersburg;999;2502,19160926738;106;2020-12-05T03:02:00
Melk;2377;3048,92126933634;315;2020-12-05T03:02:00
Mistelbach;1294;1714,29328458063;316;2020-12-05T03:02:00
Mödling;2717;2283,23165095212;317;2020-12-05T03:02:00
Murau;765;2765,82667486171;614;2020-12-05T03:02:00
Murtal;2023;2809,56613521471;620;2020-12-05T03:02:00
Neunkirchen;2097;2430,14914649268;318;2020-12-05T03:02:00
Neusiedl am See;1303;2188,00376141859;107;2020-12-05T03:02:00
Oberpullendorf;1176;3134,91323008024;108;2020-12-05T03:02:00
Oberwart;1597;2953,25098010208;109;2020-12-05T03:02:00
Perg;3059;4468,36792824902;411;2020-12-05T03:02:00
Reutte;765;2341,59779614325;708;2020-12-05T03:02:00
Ried im Innkreis;3195;5220,24704267695;412;2020-12-05T03:02:00
Rohrbach;3448;6100,0636897601;413;2020-12-05T03:02:00
Rust(Stadt);49;2525,77319587629;102;2020-12-05T03:02:00
Salzburg(Stadt);5159;3345,41634513751;501;2020-12-05T03:02:00
Salzburg-Umgebung;5788;3800,86813194029;503;2020-12-05T03:02:00
Sankt Johann im Pongau;4454;5527,90637062043;504;2020-12-05T03:02:00
Sankt Pölten(Land);3531;2694,51481944996;319;2020-12-05T03:02:00
Sankt Pölten(Stadt);1865;3388,19853208342;302;2020-12-05T03:02:00
Sankt Veit an der Glan;1888;3460,72770598479;205;2020-12-05T03:02:00
Schärding;2793;4873,75015268641;414;2020-12-05T03:02:00
Scheibbs;1701;4108,3979421781;320;2020-12-05T03:02:00
Schwaz;6129;7307,47678037032;709;2020-12-05T03:02:00
Spittal an der Drau;1416;1860,92967630863;206;2020-12-05T03:02:00
Steyr(Stadt);1323;3463,98554708978;402;2020-12-05T03:02:00
Steyr-Land;2522;4173,63099276813;415;2020-12-05T03:02:00
Südoststeiermark;2550;2966,94474501728;623;2020-12-05T03:02:00
Tamsweg;1093;5378,93700787402;505;2020-12-05T03:02:00
Tulln;2453;2363,85888157578;321;2020-12-05T03:02:00
Urfahr-Umgebung;4193;4903,80679492427;416;2020-12-05T03:02:00
Villach Land;1688;2610,25545865034;207;2020-12-05T03:02:00
Villach Stadt;1486;2387,41705894639;202;2020-12-05T03:02:00
Vöcklabruck;5296;3886,88689423352;417;2020-12-05T03:02:00
Voitsberg;1646;3217,29442348664;616;2020-12-05T03:02:00
Völkermarkt;1714;4092,84110989063;208;2020-12-05T03:02:00
Waidhofen an der Thaya;712;2750,30902348579;322;2020-12-05T03:02:00
Waidhofen an der Ybbs(Stadt);361;3205,75437350147;303;2020-12-05T03:02:00
Weiz;2181;2414,13280497659;617;2020-12-05T03:02:00
Wels(Stadt);2653;4297,95713383122;403;2020-12-05T03:02:00
Wels-Land;2560;3502,3394533067;418;2020-12-05T03:02:00
Wien(Stadt);62406;3288,86935432105;900;2020-12-05T03:02:00
Wiener Neustadt(Land);1699;2178,45648856919;323;2020-12-05T03:02:00
Wiener Neustadt(Stadt);1372;3030,23610221525;304;2020-12-05T03:02:00
Wolfsberg;1810;3432,84148238061;209;2020-12-05T03:02:00
Zell am See;3434;3926,27655438933;506;2020-12-05T03:02:00
Zwettl;1316;3116,85850978163;325;2020-12-05T03:02:00
