Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;49;0;3
Rust(Stadt);102;1940;3;0;0
Eisenstadt-Umgebung;103;42927;143;1;18
Güssing;104;25797;107;0;13
Jennersdorf;105;17066;19;0;0
Mattersburg;106;39925;163;1;20
Neusiedl am See;107;59552;304;4;76
Oberpullendorf;108;37513;104;1;26
Oberwart;109;54076;284;4;53
Klagenfurt Stadt;201;100817;280;3;64
Villach Stadt;202;62243;135;0;25
Hermagor;203;18224;59;0;4
Klagenfurt Land;204;59800;135;2;33
Sankt Veit an der Glan;205;54555;140;0;58
Spittal an der Drau;206;76091;92;1;11
Villach Land;207;64668;143;2;16
Völkermarkt;208;41878;149;4;33
Wolfsberg;209;52726;94;1;4
Feldkirchen;210;29937;44;0;9
Krems an der Donau(Stadt);301;24876;150;4;8
Sankt Pölten(Stadt);302;55044;359;5;74
Waidhofen an der Ybbs(Stadt);303;11261;34;3;4
Wiener Neustadt(Stadt);304;45277;290;0;28
Amstetten;305;116114;458;16;41
Baden;306;146203;812;7;135
Bruck an der Leitha;307;102010;527;5;76
Gänserndorf;308;103686;564;5;102
Gmünd;309;36773;154;1;29
Hollabrunn;310;50858;121;2;14
Horn;311;31090;129;5;11
Korneuburg;312;90889;535;6;94
Krems(Land);313;56596;367;8;41
Lilienfeld;314;25812;114;5;12
Melk;315;77962;403;5;39
Mistelbach;316;75483;402;7;55
Mödling;317;118998;738;11;128
Neunkirchen;318;86291;539;8;46
Sankt Pölten(Land);319;131044;679;11;93
Scheibbs;320;41403;175;2;8
Tulln;321;103771;468;6;69
Waidhofen an der Thaya;322;25888;168;2;20
Wiener Neustadt(Land);323;77991;324;9;50
Zwettl;325;42222;221;2;32
Linz(Stadt);401;205726;1604;20;129
Steyr(Stadt);402;38193;198;2;24
Wels(Stadt);403;61727;521;0;128
Braunau am Inn;404;104408;413;5;70
Eferding;405;33156;135;6;7
Freistadt;406;66621;340;6;25
Gmunden;407;101631;412;3;87
Grieskirchen;408;64721;246;1;53
Kirchdorf an der Krems;409;56866;161;2;13
Linz-Land;410;150273;1089;10;80
Perg;411;68459;487;4;28
Ried im Innkreis;412;61204;357;0;72
Rohrbach;413;56524;352;0;82
Schärding;414;57307;204;1;70
Steyr-Land;415;60427;325;7;45
Urfahr-Umgebung;416;85505;529;6;48
Vöcklabruck;417;136253;646;4;136
Wels-Land;418;73094;362;1;50
Salzburg(Stadt);501;154211;677;3;100
Hallein;502;60374;455;1;191
Salzburg-Umgebung;503;152281;640;11;117
Sankt Johann im Pongau;504;80573;712;18;103
Tamsweg;505;20320;56;1;16
Zell am See;506;87462;502;9;27
Graz(Stadt);601;288806;1432;52;114
Deutschlandsberg;603;60821;122;2;14
Graz-Umgebung;606;154260;538;36;53
Leibnitz;610;82484;298;9;29
Leoben;611;60060;172;3;59
Liezen;612;79901;237;2;33
Murau;614;27659;41;0;3
Voitsberg;616;51161;205;5;42
Weiz;617;90343;338;18;41
Murtal;620;72004;152;2;31
Bruck-Mürzzuschlag;621;98984;234;9;61
Hartberg-Fürstenfeld;622;90622;428;41;23
Südoststeiermark;623;85947;110;2;14
Innsbruck-Stadt;701;132110;1621;7;238
Imst;702;60056;515;6;77
Innsbruck-Land;703;179318;1194;14;165
Kitzbühel;704;63881;495;11;17
Kufstein;705;109682;1040;35;65
Landeck;706;44362;1220;16;41
Lienz;707;48753;188;6;5
Reutte;708;32670;131;1;10
Schwaz;709;83873;845;15;121
Bludenz;801;63714;506;6;41
Bregenz;802;134383;724;11;105
Dornbirn;803;89041;552;6;50
Feldkirch;804;107159;669;4;123
Wien;900;1897491;21154;280;2944
