Altersgruppe;Anzahl;Timestamp
<5;256;2020-08-04T09:00:00
5-14;805;2020-08-04T09:00:00
15-24;2460;2020-08-04T09:00:00
25-34;3314;2020-08-04T09:00:00
35-44;3082;2020-08-04T09:00:00
45-54;4119;2020-08-04T09:00:00
55-64;3224;2020-08-04T09:00:00
65-74;1642;2020-08-04T09:00:00
75-84;1530;2020-08-04T09:00:00
>84;991;2020-08-04T09:00:00
