Altersgruppe;Anzahl;Timestamp
<5;0;2020-10-21T11:02:00
5-14;0;2020-10-21T11:02:00
15-24;0;2020-10-21T11:02:00
25-34;2;2020-10-21T11:02:00
35-44;3;2020-10-21T11:02:00
45-54;18;2020-10-21T11:02:00
55-64;33;2020-10-21T11:02:00
65-74;152;2020-10-21T11:02:00
75-84;319;2020-10-21T11:02:00
>84;367;2020-10-21T11:02:00
