Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5364;1.82;6198;2.11;294436;1
Kärnten;12354;2.20;15636;2.79;561293;2
Niederösterreich;27066;1.61;39502;2.35;1684287;3
Oberösterreich;36056;2.42;46486;3.12;1490279;4
Salzburg;11494;2.06;14089;2.52;558410;5
Steiermark;28868;2.32;56968;4.57;1246395;6
Tirol;16571;2.19;17112;2.26;757634;7
Vorarlberg;10502;2.64;13433;3.38;397139;8
Wien;47611;2.49;60025;3.14;1911191;9
Österreich;195886;2.20;269449;3.03;8901064;10
Stand;2021-01-27 18:00;2021-01-27 18:00;2021-01-27 18:00;2021-01-27 18:00;2020-01-01 00:00;
