Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;12350;4.19;13988;4.75;294436;1
Kärnten;29723;5.30;33785;6.02;561293;2
Niederösterreich;76992;4.57;85470;5.07;1684287;3
Oberösterreich;76880;5.16;107402;7.21;1490279;4
Salzburg;26945;4.83;29625;5.31;558410;5
Steiermark;68105;5.46;77531;6.22;1246395;6
Tirol;36948;4.88;43942;5.80;757634;7
Vorarlberg;22013;5.54;27703;6.98;397139;8
Wien;98599;5.16;114589;6.00;1911191;9
Österreich;448555;5.04;534035;6.00;8901064;10
Stand;2021-02-16 18:00;2021-02-16 18:00;2021-02-16 18:00;2021-02-16 18:00;2020-01-01 00:00;
