Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;16656;5.66;19900;6.76;294436;1
Kärnten;39987;7.12;50719;9.04;561293;2
Niederösterreich;99148;5.89;117038;6.95;1684287;3
Oberösterreich;99578;6.68;120110;8.06;1490279;4
Salzburg;34371;6.16;37171;6.66;558410;5
Steiermark;79799;6.40;91021;7.30;1246395;6
Tirol;52252;6.90;61448;8.11;757634;7
Vorarlberg;27823;7.01;31961;8.05;397139;8
Wien;119351;6.24;138537;7.25;1911191;9
Österreich;568965;6.39;667905;7.50;8901064;10
Stand;2021-02-24 18:00;2021-02-24 18:00;2021-02-24 18:00;2021-02-24 18:00;2020-01-01 00:00;
