Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;297;0;75
Rust(Stadt);102;1980;35;0;16
Eisenstadt-Umgebung;103;43236;739;5;174
Güssing;104;25699;538;1;200
Jennersdorf;105;17097;374;3;134
Mattersburg;106;40042;647;4;147
Neusiedl am See;107;59990;901;11;177
Oberpullendorf;108;37384;800;4;209
Oberwart;109;54192;1220;18;257
Klagenfurt Stadt;201;101300;1814;29;724
Villach Stadt;202;62882;874;1;255
Hermagor;203;18054;333;2;96
Klagenfurt Land;204;60014;910;2;387
Sankt Veit an der Glan;205;54186;917;3;411
Spittal an der Drau;206;75868;634;3;307
Villach Land;207;64618;839;4;340
Völkermarkt;208;41862;907;6;421
Wolfsberg;209;52607;811;5;331
Feldkirchen;210;29902;463;3;200
Krems an der Donau(Stadt);301;25036;526;6;146
Sankt Pölten(Stadt);302;55514;1106;8;204
Waidhofen an der Ybbs(Stadt);303;11222;217;3;81
Wiener Neustadt(Stadt);304;45823;991;19;181
Amstetten;305;116520;2661;27;836
Baden;306;146751;2477;13;501
Bruck an der Leitha;307;103735;1595;5;301
Gänserndorf;308;104782;1328;7;205
Gmünd;309;36553;799;7;176
Hollabrunn;310;51033;726;3;204
Horn;311;30936;358;5;79
Korneuburg;312;91254;1552;7;259
Krems(Land);313;56487;1212;9;274
Lilienfeld;314;25655;552;7;125
Melk;315;78191;1378;9;384
Mistelbach;316;75625;915;12;204
Mödling;317;119115;2113;14;349
Neunkirchen;318;86343;1431;15;269
Sankt Pölten(Land);319;131729;2315;20;504
Scheibbs;320;41414;946;4;325
Tulln;321;104593;1858;7;359
Waidhofen an der Thaya;322;25682;528;4;84
Wiener Neustadt(Land);323;78307;1171;13;276
Zwettl;325;41987;775;3;173
Linz(Stadt);401;206595;5111;50;1170
Steyr(Stadt);402;38056;907;2;219
Wels(Stadt);403;62470;1786;8;350
Braunau am Inn;404;105553;1961;14;579
Eferding;405;33178;1185;8;314
Freistadt;406;66861;2065;22;520
Gmunden;407;101859;2391;14;539
Grieskirchen;408;64875;2052;5;515
Kirchdorf an der Krems;409;57071;1095;7;342
Linz-Land;410;151371;3700;15;971
Perg;411;68968;2011;9;619
Ried im Innkreis;412;61690;2219;17;635
Rohrbach;413;56545;2444;23;776
Schärding;414;57391;1847;5;459
Steyr-Land;415;60717;1708;20;523
Urfahr-Umgebung;416;86005;2863;19;930
Vöcklabruck;417;137297;3570;16;1047
Wels-Land;418;73777;1671;8;472
Salzburg(Stadt);501;155021;2960;6;737
Hallein;502;60824;1918;9;378
Salzburg-Umgebung;503;153492;3698;17;898
Sankt Johann im Pongau;504;81194;2989;20;685
Tamsweg;505;20251;557;3;195
Zell am See;506;87628;1865;10;547
Graz(Stadt);601;291072;5133;57;1163
Deutschlandsberg;603;60867;798;4;212
Graz-Umgebung;606;156070;2351;55;592
Leibnitz;610;84756;1683;19;400
Leoben;611;59700;1044;19;292
Liezen;612;79652;1493;11;353
Murau;614;27543;332;1;137
Voitsberg;616;51044;1004;19;352
Weiz;617;90654;1447;23;375
Murtal;620;71698;1054;7;350
Bruck-Mürzzuschlag;621;98697;1734;35;588
Hartberg-Fürstenfeld;622;90606;1883;57;541
Südoststeiermark;623;84036;1621;14;490
Innsbruck-Stadt;701;131961;4456;38;661
Imst;702;60474;1678;9;394
Innsbruck-Land;703;180453;5125;19;1058
Kitzbühel;704;64168;1544;15;360
Kufstein;705;110287;3602;44;924
Landeck;706;44386;1788;20;146
Lienz;707;48738;996;7;348
Reutte;708;32838;493;2;112
Schwaz;709;84329;4239;27;1089
Bludenz;801;64107;1731;11;435
Bregenz;802;134987;3866;23;1108
Dornbirn;803;89912;3308;21;852
Feldkirch;804;108133;3059;13;797
Wien;900;1911191;48194;452;8456
