Altersgruppe;Anzahl;Timestamp
<5;252;2020-08-01T18:00:00
5-14;798;2020-08-01T18:00:00
15-24;2412;2020-08-01T18:00:00
25-34;3267;2020-08-01T18:00:00
35-44;3051;2020-08-01T18:00:00
45-54;4093;2020-08-01T18:00:00
55-64;3202;2020-08-01T18:00:00
65-74;1634;2020-08-01T18:00:00
75-84;1520;2020-08-01T18:00:00
>84;990;2020-08-01T18:00:00
