Bundesland;Anzahl;GKZ;Timestamp
Wien;286;9;2020-06-12T21:59:59
Vorarlberg;11;8;2020-06-12T21:59:59
Tirol;8;7;2020-06-12T21:59:59
Steiermark;4;6;2020-06-12T21:59:59
Salzburg;2;5;2020-06-12T21:59:59
Oberösterreich;35;4;2020-06-12T21:59:59
Niederösterreich;54;3;2020-06-12T21:59:59
Kärnten;1;2;2020-06-12T21:59:59
Burgenland;3;1;2020-06-12T21:59:59
