Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;15396;5.23;20040;6.81;294436;1
Kärnten;38913;6.93;44711;7.97;561293;2
Niederösterreich;95518;5.67;111924;6.65;1684287;3
Oberösterreich;98140;6.59;120110;8.06;1490279;4
Salzburg;31239;5.59;37125;6.65;558410;5
Steiermark;79511;6.38;89715;7.20;1246395;6
Tirol;49756;6.57;59536;7.86;757634;7
Vorarlberg;27775;6.99;31961;8.05;397139;8
Wien;113993;5.96;136087;7.12;1911191;9
Österreich;550241;6.18;651209;7.32;8901064;10
Stand;2021-02-23 18:00;2021-02-23 18:00;2021-02-23 18:00;2021-02-23 18:00;2020-01-01 00:00;
