Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;4851;1.65;5946;2.02;294436;1
Kärnten;11310;2.01;13134;2.34;561293;2
Niederösterreich;24951;1.48;30628;1.82;1684287;3
Oberösterreich;26837;1.80;36920;2.48;1490279;4
Salzburg;10215;1.83;14166;2.54;558410;5
Steiermark;26018;2.09;32849;2.64;1246395;6
Tirol;13878;1.83;15155;2.00;757634;7
Vorarlberg;10285;2.59;10438;2.63;397139;8
Wien;41209;2.16;51391;2.69;1911191;9
Österreich;169554;1.90;210627;2.37;8901064;10
Stand;2021-01-22 18:00;2021-01-22 18:00;2021-01-22 18:00;2021-01-22 18:00;2020-01-01 00:00;
