Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;10515;191;1;2021-02-01T12:02:00
Kärnten;24434;616;2;2021-02-01T12:02:00
Niederösterreich;60352;1081;3;2021-02-01T12:02:00
Oberösterreich;77390;1245;4;2021-02-01T12:02:00
Salzburg;32102;439;5;2021-02-01T12:02:00
Steiermark;45426;1225;6;2021-02-01T12:02:00
Tirol;43331;538;7;2021-02-01T12:02:00
Vorarlberg;21773;239;8;2021-02-01T12:02:00
Wien;78424;1445;9;2021-02-01T12:02:00
