AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6271;M;47;38;0
1;<5;Burgenland;1;5908;W;21;16;0
1;<5;Kärnten;2;12224;M;61;55;0
1;<5;Kärnten;2;11683;W;56;51;0
1;<5;Niederösterreich;3;40492;M;171;162;0
1;<5;Niederösterreich;3;38354;W;132;126;0
1;<5;Oberösterreich;4;39650;M;252;246;0
1;<5;Oberösterreich;4;37428;W;222;216;0
1;<5;Salzburg;5;14528;M;124;116;0
1;<5;Salzburg;5;13799;W;89;85;0
1;<5;Steiermark;6;29066;M;138;129;0
1;<5;Steiermark;6;27485;W;117;109;0
1;<5;Tirol;7;19768;M;222;219;0
1;<5;Tirol;7;18326;W;178;174;0
1;<5;Vorarlberg;8;11200;M;97;92;0
1;<5;Vorarlberg;8;10560;W;77;72;0
1;<5;Wien;9;50897;M;484;456;0
1;<5;Wien;9;48196;W;459;425;0
1;<5;Österreich;10;224096;M;1596;1513;0
1;<5;Österreich;10;211739;W;1351;1274;0
2;5-14;Burgenland;1;13528;M;345;307;0
2;5-14;Burgenland;1;12962;W;243;211;0
2;5-14;Kärnten;2;26135;M;421;370;0
2;5-14;Kärnten;2;24667;W;386;343;0
2;5-14;Niederösterreich;3;84399;M;1797;1635;0
2;5-14;Niederösterreich;3;80034;W;1586;1448;0
2;5-14;Oberösterreich;4;76223;M;1635;1557;0
2;5-14;Oberösterreich;4;72202;W;1475;1403;0
2;5-14;Salzburg;5;27260;M;1095;1024;0
2;5-14;Salzburg;5;26109;W;974;912;0
2;5-14;Steiermark;6;56981;M;742;698;0
2;5-14;Steiermark;6;53566;W;634;608;0
2;5-14;Tirol;7;36954;M;1407;1339;0
2;5-14;Tirol;7;35185;W;1379;1325;0
2;5-14;Vorarlberg;8;21371;M;576;560;0
2;5-14;Vorarlberg;8;20345;W;537;525;0
2;5-14;Wien;9;92739;M;2665;2422;0
2;5-14;Wien;9;86565;W;2397;2207;0
2;5-14;Österreich;10;435590;M;10683;9912;0
2;5-14;Österreich;10;411635;W;9611;8982;0
3;15-24;Burgenland;1;14211;M;674;632;0
3;15-24;Burgenland;1;13131;W;523;489;0
3;15-24;Kärnten;2;28406;M;1446;1321;0
3;15-24;Kärnten;2;26320;W;1259;1107;0
3;15-24;Niederösterreich;3;89919;M;4162;3907;1
3;15-24;Niederösterreich;3;83156;W;3653;3379;0
3;15-24;Oberösterreich;4;83998;M;5037;4762;0
3;15-24;Oberösterreich;4;78239;W;4875;4590;0
3;15-24;Salzburg;5;31568;M;2286;2111;0
3;15-24;Salzburg;5;29388;W;2051;1900;0
3;15-24;Steiermark;6;66905;M;2471;2338;0
3;15-24;Steiermark;6;62165;W;2506;2363;0
3;15-24;Tirol;7;42988;M;3108;2998;0
3;15-24;Tirol;7;40872;W;2863;2729;0
3;15-24;Vorarlberg;8;23260;M;1548;1463;0
3;15-24;Vorarlberg;8;21284;W;1469;1402;0
3;15-24;Wien;9;110503;M;6027;5597;1
3;15-24;Wien;9;109312;W;5881;5430;0
3;15-24;Österreich;10;491758;M;26759;25129;2
3;15-24;Österreich;10;463867;W;25080;23389;0
4;25-34;Burgenland;1;15869;M;622;588;0
4;25-34;Burgenland;1;15497;W;586;543;0
4;25-34;Kärnten;2;33170;M;1534;1380;0
4;25-34;Kärnten;2;32067;W;1522;1341;0
4;25-34;Niederösterreich;3;100196;M;4092;3786;0
4;25-34;Niederösterreich;3;96933;W;3976;3623;0
4;25-34;Oberösterreich;4;102058;M;6027;5661;0
4;25-34;Oberösterreich;4;95289;W;6090;5654;1
4;25-34;Salzburg;5;38299;M;2294;2117;1
4;25-34;Salzburg;5;37188;W;2286;2124;0
4;25-34;Steiermark;6;85306;M;3251;3046;0
4;25-34;Steiermark;6;79007;W;3361;3138;0
4;25-34;Tirol;7;54701;M;3296;3176;0
4;25-34;Tirol;7;52293;W;3259;3132;0
4;25-34;Vorarlberg;8;27098;M;1542;1469;0
4;25-34;Vorarlberg;8;25794;W;1562;1483;0
4;25-34;Wien;9;160526;M;7499;6918;2
4;25-34;Wien;9;157739;W;7212;6530;1
4;25-34;Österreich;10;617223;M;30157;28141;3
4;25-34;Österreich;10;591807;W;29855;27569;2
5;35-44;Burgenland;1;18298;M;687;634;0
5;35-44;Burgenland;1;19387;W;758;702;1
5;35-44;Kärnten;2;34383;M;1347;1227;1
5;35-44;Kärnten;2;34229;W;1795;1613;0
5;35-44;Niederösterreich;3;106173;M;3815;3535;4
5;35-44;Niederösterreich;3;107318;W;4189;3809;0
5;35-44;Oberösterreich;4;97716;M;5247;4911;3
5;35-44;Oberösterreich;4;93775;W;5916;5511;1
5;35-44;Salzburg;5;36981;M;2150;2005;0
5;35-44;Salzburg;5;36583;W;2200;2025;0
5;35-44;Steiermark;6;81448;M;2880;2702;2
5;35-44;Steiermark;6;78824;W;3315;3080;0
5;35-44;Tirol;7;49976;M;2749;2643;0
5;35-44;Tirol;7;50079;W;3084;2973;0
5;35-44;Vorarlberg;8;26757;M;1409;1351;0
5;35-44;Vorarlberg;8;26809;W;1625;1550;0
5;35-44;Wien;9;138896;M;5693;5157;2
5;35-44;Wien;9;137113;W;5883;5286;1
5;35-44;Österreich;10;590628;M;25977;24165;12
5;35-44;Österreich;10;584117;W;28768;26549;3
6;45-54;Burgenland;1;23198;M;886;837;3
6;45-54;Burgenland;1;23111;W;975;906;0
6;45-54;Kärnten;2;42248;M;1782;1570;5
6;45-54;Kärnten;2;43197;W;2291;2019;1
6;45-54;Niederösterreich;3;132507;M;4852;4527;7
6;45-54;Niederösterreich;3;133561;W;5533;5093;7
6;45-54;Oberösterreich;4;111122;M;6409;5987;7
6;45-54;Oberösterreich;4;109542;W;7414;6956;4
6;45-54;Salzburg;5;40972;M;2498;2296;2
6;45-54;Salzburg;5;42207;W;2839;2634;2
6;45-54;Steiermark;6;94416;M;3769;3489;10
6;45-54;Steiermark;6;92354;W;4374;4051;3
6;45-54;Tirol;7;56912;M;3422;3299;7
6;45-54;Tirol;7;57521;W;3836;3683;3
6;45-54;Vorarlberg;8;30023;M;1743;1677;0
6;45-54;Vorarlberg;8;29851;W;1918;1821;0
6;45-54;Wien;9;134056;M;5614;5042;12
6;45-54;Wien;9;137059;W;5956;5336;9
6;45-54;Österreich;10;665454;M;30977;28724;53
6;45-54;Österreich;10;668403;W;35137;32499;29
7;55-64;Burgenland;1;23739;M;746;687;10
7;55-64;Burgenland;1;23841;W;675;624;1
7;55-64;Kärnten;2;43390;M;1725;1523;9
7;55-64;Kärnten;2;45306;W;1690;1495;7
7;55-64;Niederösterreich;3;124044;M;4259;3909;22
7;55-64;Niederösterreich;3;125362;W;3831;3497;19
7;55-64;Oberösterreich;4;107183;M;5593;5211;52
7;55-64;Oberösterreich;4;107982;W;5340;4983;14
7;55-64;Salzburg;5;37432;M;2130;1968;9
7;55-64;Salzburg;5;40224;W;2064;1900;7
7;55-64;Steiermark;6;90939;M;3152;2893;31
7;55-64;Steiermark;6;92404;W;2990;2772;25
7;55-64;Tirol;7;51443;M;2907;2761;12
7;55-64;Tirol;7;52659;W;2799;2679;3
7;55-64;Vorarlberg;8;26503;M;1359;1286;10
7;55-64;Vorarlberg;8;26569;W;1348;1280;5
7;55-64;Wien;9;113414;M;4262;3736;40
7;55-64;Wien;9;118686;W;3769;3279;21
7;55-64;Österreich;10;618087;M;26133;23974;195
7;55-64;Österreich;10;633033;W;24506;22509;102
8;65-74;Burgenland;1;16429;M;416;377;21
8;65-74;Burgenland;1;17400;W;374;347;2
8;65-74;Kärnten;2;28957;M;913;776;42
8;65-74;Kärnten;2;32719;W;928;797;21
8;65-74;Niederösterreich;3;78908;M;2022;1778;89
8;65-74;Niederösterreich;3;87896;W;1956;1757;40
8;65-74;Oberösterreich;4;66173;M;2668;2340;124
8;65-74;Oberösterreich;4;72610;W;2498;2271;48
8;65-74;Salzburg;5;24832;M;955;847;25
8;65-74;Salzburg;5;29066;W;960;871;15
8;65-74;Steiermark;6;58267;M;1652;1423;102
8;65-74;Steiermark;6;66010;W;1682;1499;62
8;65-74;Tirol;7;32227;M;1392;1286;35
8;65-74;Tirol;7;36747;W;1397;1312;22
8;65-74;Vorarlberg;8;16802;M;665;595;23
8;65-74;Vorarlberg;8;18708;W;726;667;9
8;65-74;Wien;9;70556;M;1979;1559;123
8;65-74;Wien;9;87728;W;1975;1607;52
8;65-74;Österreich;10;393151;M;12662;10981;584
8;65-74;Österreich;10;448884;W;12496;11128;271
9;75-84;Burgenland;1;9974;M;272;223;29
9;75-84;Burgenland;1;12803;W;356;297;32
9;75-84;Kärnten;2;19150;M;810;608;101
9;75-84;Kärnten;2;25643;W;1013;802;62
9;75-84;Niederösterreich;3;57182;M;1588;1249;191
9;75-84;Niederösterreich;3;72202;W;1828;1519;124
9;75-84;Oberösterreich;4;43017;M;1937;1530;254
9;75-84;Oberösterreich;4;58203;W;2318;1957;146
9;75-84;Salzburg;5;16683;M;728;581;84
9;75-84;Salzburg;5;21887;W;859;738;46
9;75-84;Steiermark;6;40440;M;1487;1107;257
9;75-84;Steiermark;6;54237;W;1928;1545;207
9;75-84;Tirol;7;22116;M;1110;916;130
9;75-84;Tirol;7;28566;W;1291;1150;73
9;75-84;Vorarlberg;8;11038;M;474;404;48
9;75-84;Vorarlberg;8;13982;W;541;486;28
9;75-84;Wien;9;48860;M;1481;1004;224
9;75-84;Wien;9;69284;W;1974;1404;164
9;75-84;Österreich;10;268460;M;9887;7622;1318
9;75-84;Österreich;10;356807;W;12108;9898;882
10;>84;Burgenland;1;2822;M;112;74;30
10;>84;Burgenland;1;6057;W;323;249;43
10;>84;Kärnten;2;5625;M;399;235;102
10;>84;Kärnten;2;11774;W;987;660;154
10;>84;Niederösterreich;3;15354;M;597;351;170
10;>84;Niederösterreich;3;30297;W;1428;1015;231
10;>84;Oberösterreich;4;12674;M;859;545;238
10;>84;Oberösterreich;4;25195;W;1917;1422;287
10;>84;Salzburg;5;4612;M;310;210;71
10;>84;Salzburg;5;8792;W;681;522;92
10;>84;Steiermark;6;11804;M;778;458;259
10;>84;Steiermark;6;24771;W;2244;1568;436
10;>84;Tirol;7;6514;M;501;360;113
10;>84;Tirol;7;11787;W;958;780;128
10;>84;Vorarlberg;8;3076;M;172;115;47
10;>84;Vorarlberg;8;6109;W;353;273;55
10;>84;Wien;9;11844;M;635;331;180
10;>84;Wien;9;27218;W;1791;1061;325
10;>84;Österreich;10;74325;M;4363;2679;1210
10;>84;Österreich;10;152000;W;10682;7550;1751
