time;Kapazität Intensivbetten in %;Timestamp
01.04.2020;79,386385426654;2020-11-12T17:30:00
02.04.2020;77,329192546584;2020-11-12T17:30:00
03.04.2020;73,936170212766;2020-11-12T17:30:00
04.04.2020;74,716202270382;2020-11-12T17:30:00
05.04.2020;75,889328063242;2020-11-12T17:30:00
06.04.2020;75,609756097561;2020-11-12T17:30:00
07.04.2020;79,406779661017;2020-11-12T17:30:00
08.04.2020;78,725099601594;2020-11-12T17:30:00
09.04.2020;79,120879120880;2020-11-12T17:30:00
10.04.2020;79,086538461539;2020-11-12T17:30:00
11.04.2020;78,026905829597;2020-11-12T17:30:00
12.04.2020;78,361531611755;2020-11-12T17:30:00
13.04.2020;80,521597392014;2020-11-12T17:30:00
14.04.2020;80,163265306123;2020-11-12T17:30:00
15.04.2020;80,034423407918;2020-11-12T17:30:00
16.04.2020;79,322328410079;2020-11-12T17:30:00
17.04.2020;81,004184100419;2020-11-12T17:30:00
18.04.2020;82,053494391717;2020-11-12T17:30:00
19.04.2020;83,561643835617;2020-11-12T17:30:00
20.04.2020;83,145091225022;2020-11-12T17:30:00
21.04.2020;83,403895004234;2020-11-12T17:30:00
22.04.2020;85,931254996004;2020-11-12T17:30:00
23.04.2020;85,355285961872;2020-11-12T17:30:00
24.04.2020;87,139323990108;2020-11-12T17:30:00
25.04.2020;87,666666666667;2020-11-12T17:30:00
26.04.2020;88,085456039442;2020-11-12T17:30:00
27.04.2020;88,458367683430;2020-11-12T17:30:00
28.04.2020;88,581024349287;2020-11-12T17:30:00
29.04.2020;88,598781549174;2020-11-12T17:30:00
30.04.2020;88,771929824562;2020-11-12T17:30:00
01.05.2020;89,045936395760;2020-11-12T17:30:00
02.05.2020;90,172413793104;2020-11-12T17:30:00
03.05.2020;90,248075278016;2020-11-12T17:30:00
04.05.2020;90,488431876607;2020-11-12T17:30:00
05.05.2020;90,924956369983;2020-11-12T17:30:00
06.05.2020;91,189827429610;2020-11-12T17:30:00
07.05.2020;91,651542649728;2020-11-12T17:30:00
08.05.2020;92,500000000000;2020-11-12T17:30:00
09.05.2020;92,857142857143;2020-11-12T17:30:00
10.05.2020;93,495934959350;2020-11-12T17:30:00
11.05.2020;93,928571428572;2020-11-12T17:30:00
12.05.2020;94,516728624536;2020-11-12T17:30:00
13.05.2020;94,680851063830;2020-11-12T17:30:00
14.05.2020;94,757281553399;2020-11-12T17:30:00
15.05.2020;95,360315893386;2020-11-12T17:30:00
16.05.2020;94,444444444445;2020-11-12T17:30:00
17.05.2020;94,882729211088;2020-11-12T17:30:00
18.05.2020;95,302713987474;2020-11-12T17:30:00
19.05.2020;95,756256800871;2020-11-12T17:30:00
20.05.2020;95,969498910676;2020-11-12T17:30:00
21.05.2020;96,448390677026;2020-11-12T17:30:00
22.05.2020;96,585903083701;2020-11-12T17:30:00
23.05.2020;96,979503775621;2020-11-12T17:30:00
24.05.2020;96,895074946467;2020-11-12T17:30:00
25.05.2020;96,740273396425;2020-11-12T17:30:00
26.05.2020;96,502732240438;2020-11-12T17:30:00
27.05.2020;96,471885336274;2020-11-12T17:30:00
28.05.2020;96,602491506229;2020-11-12T17:30:00
29.05.2020;97,123130034523;2020-11-12T17:30:00
30.05.2020;97,281323877069;2020-11-12T17:30:00
31.05.2020;96,864111498258;2020-11-12T17:30:00
01.06.2020;96,689497716895;2020-11-12T17:30:00
02.06.2020;96,973224679861;2020-11-12T17:30:00
03.06.2020;97,558139534884;2020-11-12T17:30:00
04.06.2020;97,218710493047;2020-11-12T17:30:00
05.06.2020;97,500000000000;2020-11-12T17:30:00
06.06.2020;97,908979089791;2020-11-12T17:30:00
07.06.2020;97,916666666667;2020-11-12T17:30:00
08.06.2020;97,936893203884;2020-11-12T17:30:00
09.06.2020;97,743467933492;2020-11-12T17:30:00
10.06.2020;97,777777777778;2020-11-12T17:30:00
11.06.2020;98,120805369128;2020-11-12T17:30:00
