Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;925;11;10
Rust(Stadt);102;1980;73;0;0
Eisenstadt-Umgebung;103;43236;2279;24;44
Güssing;104;25699;1786;52;32
Jennersdorf;105;17097;1266;25;21
Mattersburg;106;40042;2203;32;40
Neusiedl am See;107;59990;3181;39;74
Oberpullendorf;108;37384;2202;40;30
Oberwart;109;54192;3549;87;46
Klagenfurt Stadt;201;101300;5973;155;112
Villach Stadt;202;62882;3611;68;134
Hermagor;203;18054;1857;28;8
Klagenfurt Land;204;60014;3997;65;121
Sankt Veit an der Glan;205;54186;3785;97;80
Spittal an der Drau;206;75868;5382;116;175
Villach Land;207;64618;4250;77;97
Völkermarkt;208;41862;3524;61;76
Wolfsberg;209;52607;3357;72;64
Feldkirchen;210;29902;2251;52;58
Krems an der Donau(Stadt);301;25036;1317;28;39
Sankt Pölten(Stadt);302;55514;3573;55;99
Waidhofen an der Ybbs(Stadt);303;11222;867;14;26
Wiener Neustadt(Stadt);304;45823;3764;84;51
Amstetten;305;116520;9567;126;195
Baden;306;146751;9540;120;206
Bruck an der Leitha;307;103735;5833;84;173
Gänserndorf;308;104782;5559;64;168
Gmünd;309;36553;2620;42;42
Hollabrunn;310;51033;2474;52;52
Horn;311;30936;1438;26;53
Korneuburg;312;91254;4153;48;64
Krems(Land);313;56487;3126;39;48
Lilienfeld;314;25655;1516;39;26
Melk;315;78191;5532;98;135
Mistelbach;316;75625;3597;34;53
Mödling;317;119115;6192;109;111
Neunkirchen;318;86343;5755;96;70
Sankt Pölten(Land);319;131729;7375;132;148
Scheibbs;320;41414;3649;38;80
Tulln;321;104593;5168;81;85
Waidhofen an der Thaya;322;25682;1660;14;23
Wiener Neustadt(Land);323;78307;5078;90;51
Zwettl;325;41987;3237;37;54
Linz(Stadt);401;206595;12741;214;402
Steyr(Stadt);402;38056;2276;18;71
Wels(Stadt);403;62470;5210;69;189
Braunau am Inn;404;105553;8623;102;286
Eferding;405;33178;2693;32;45
Freistadt;406;66861;5252;93;86
Gmunden;407;101859;7493;105;93
Grieskirchen;408;64875;5008;68;109
Kirchdorf an der Krems;409;57071;3987;81;62
Linz-Land;410;151371;9565;86;283
Perg;411;68968;5593;71;112
Ried im Innkreis;412;61690;5669;96;161
Rohrbach;413;56545;5010;96;51
Schärding;414;57391;5185;68;143
Steyr-Land;415;60717;4049;68;60
Urfahr-Umgebung;416;86005;5916;71;92
Vöcklabruck;417;137297;10913;153;378
Wels-Land;418;73777;5294;59;154
Salzburg(Stadt);501;155021;11224;133;276
Hallein;502;60824;6294;62;190
Salzburg-Umgebung;503;153492;12027;119;282
Sankt Johann im Pongau;504;81194;9284;113;131
Tamsweg;505;20251;2425;40;51
Zell am See;506;87628;7074;103;122
Graz(Stadt);601;291072;15050;285;572
Deutschlandsberg;603;60867;3710;100;155
Graz-Umgebung;606;156070;8143;240;263
Leibnitz;610;84756;5551;106;157
Leoben;611;59700;3219;109;66
Liezen;612;79652;5222;112;121
Murau;614;27543;1814;27;65
Voitsberg;616;51044;3138;106;125
Weiz;617;90654;5605;142;200
Murtal;620;71698;4551;162;171
Bruck-Mürzzuschlag;621;98697;5802;245;96
Hartberg-Fürstenfeld;622;90606;6871;178;172
Südoststeiermark;623;84036;5667;167;166
Innsbruck-Stadt;701;131961;9028;94;277
Imst;702;60474;4641;37;157
Innsbruck-Land;703;180453;12892;136;362
Kitzbühel;704;64168;4294;41;78
Kufstein;705;110287;9060;134;203
Landeck;706;44386;3480;46;49
Lienz;707;48738;5052;45;164
Reutte;708;32838;1860;5;79
Schwaz;709;84329;8941;131;55
Bludenz;801;64107;3939;46;89
Bregenz;802;134987;8804;100;398
Dornbirn;803;89912;7035;70;229
Feldkirch;804;108133;7590;76;227
Wien;900;1911191;130642;2163;3348
