Altersgruppe;Anzahl;Timestamp
<5;0;2021-01-25T14:02:00
5-14;0;2021-01-25T14:02:00
15-24;2;2021-01-25T14:02:00
25-34;5;2021-01-25T14:02:00
35-44;13;2021-01-25T14:02:00
45-54;81;2021-01-25T14:02:00
55-64;299;2021-01-25T14:02:00
65-74;879;2021-01-25T14:02:00
75-84;2322;2021-01-25T14:02:00
>84;3183;2021-01-25T14:02:00
