Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;575;10;7
Rust(Stadt);102;1980;68;0;0
Eisenstadt-Umgebung;103;43236;1430;21;33
Güssing;104;25699;1236;38;47
Jennersdorf;105;17097;831;19;59
Mattersburg;106;40042;1426;24;20
Neusiedl am See;107;59990;2045;28;59
Oberpullendorf;108;37384;1552;24;30
Oberwart;109;54192;2120;54;39
Klagenfurt Stadt;201;101300;4426;140;99
Villach Stadt;202;62882;2427;57;70
Hermagor;203;18054;1284;17;59
Klagenfurt Land;204;60014;2899;54;86
Sankt Veit an der Glan;205;54186;2833;91;37
Spittal an der Drau;206;75868;3306;86;167
Villach Land;207;64618;2906;65;92
Völkermarkt;208;41862;2641;53;53
Wolfsberg;209;52607;2617;65;40
Feldkirchen;210;29902;1611;42;29
Krems an der Donau(Stadt);301;25036;965;23;13
Sankt Pölten(Stadt);302;55514;2434;44;20
Waidhofen an der Ybbs(Stadt);303;11222;618;10;3
Wiener Neustadt(Stadt);304;45823;2116;61;127
Amstetten;305;116520;7240;121;125
Baden;306;146751;5616;87;207
Bruck an der Leitha;307;103735;3392;65;90
Gänserndorf;308;104782;3206;45;175
Gmünd;309;36553;1719;34;21
Hollabrunn;310;51033;1444;29;108
Horn;311;30936;781;11;32
Korneuburg;312;91254;2682;38;68
Krems(Land);313;56487;2340;30;66
Lilienfeld;314;25655;1059;30;13
Melk;315;78191;3590;79;47
Mistelbach;316;75625;2058;30;163
Mödling;317;119115;3929;93;89
Neunkirchen;318;86343;3443;75;93
Sankt Pölten(Land);319;131729;4877;93;93
Scheibbs;320;41414;2468;32;40
Tulln;321;104593;3636;62;74
Waidhofen an der Thaya;322;25682;993;14;27
Wiener Neustadt(Land);323;78307;2775;55;95
Zwettl;325;41987;2244;24;51
Linz(Stadt);401;206595;9508;204;85
Steyr(Stadt);402;38056;1688;18;11
Wels(Stadt);403;62470;3555;57;94
Braunau am Inn;404;105553;5369;65;177
Eferding;405;33178;2199;29;21
Freistadt;406;66861;4058;81;56
Gmunden;407;101859;5609;90;122
Grieskirchen;408;64875;4213;67;59
Kirchdorf an der Krems;409;57071;2816;73;37
Linz-Land;410;151371;7096;78;90
Perg;411;68968;4079;58;95
Ried im Innkreis;412;61690;4165;87;52
Rohrbach;413;56545;4271;90;63
Schärding;414;57391;4046;61;44
Steyr-Land;415;60717;3293;62;23
Urfahr-Umgebung;416;86005;4940;69;50
Vöcklabruck;417;137297;7569;132;84
Wels-Land;418;73777;3557;48;98
Salzburg(Stadt);501;155021;8045;105;179
Hallein;502;60824;4901;53;116
Salzburg-Umgebung;503;153492;8695;93;145
Sankt Johann im Pongau;504;81194;6715;88;176
Tamsweg;505;20251;1979;36;46
Zell am See;506;87628;5310;93;74
Graz(Stadt);601;291072;10369;243;184
Deutschlandsberg;603;60867;2509;83;115
Graz-Umgebung;606;156070;5687;216;185
Leibnitz;610;84756;3632;82;72
Leoben;611;59700;2321;87;51
Liezen;612;79652;3848;93;64
Murau;614;27543;1271;19;38
Voitsberg;616;51044;2208;85;35
Weiz;617;90654;3347;118;107
Murtal;620;71698;3322;141;61
Bruck-Mürzzuschlag;621;98697;4341;198;156
Hartberg-Fürstenfeld;622;90606;4426;155;173
Südoststeiermark;623;84036;3924;135;149
Innsbruck-Stadt;701;131961;6901;85;62
Imst;702;60474;3327;32;30
Innsbruck-Land;703;180453;9916;124;101
Kitzbühel;704;64168;3344;37;47
Kufstein;705;110287;6964;125;75
Landeck;706;44386;2882;42;25
Lienz;707;48738;3294;40;119
Reutte;708;32838;1267;4;35
Schwaz;709;84329;7583;112;113
Bludenz;801;64107;3310;43;66
Bregenz;802;134987;7095;92;93
Dornbirn;803;89912;5879;62;111
Feldkirch;804;108133;6167;68;108
Wien;900;1911191;83574;1586;1700
