Datum;BundeslandID;Bevölkerung;Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100
2021-01-15T23:59:59+01:00;8;397139;Vorarlberg;9425;2.37;10360;2.61
2021-01-15T23:59:59+01:00;9;1911191;Wien;25195;1.32;40232;2.11
2021-01-15T23:59:59+01:00;10;8901064;Österreich;102790;1.15;183011;2.06
2021-01-16T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-16T23:59:59+01:00;1;294436;Burgenland;3450;1.17;5370;1.82
2021-01-16T23:59:59+01:00;2;561293;Kärnten;7270;1.3;9510;1.69
2021-01-16T23:59:59+01:00;3;1684287;Niederösterreich;15905;0.94;27214;1.62
2021-01-16T23:59:59+01:00;4;1490279;Oberösterreich;10725;0.72;35214;2.36
2021-01-16T23:59:59+01:00;5;558410;Salzburg;6735;1.21;10915;1.95
2021-01-16T23:59:59+01:00;6;1246395;Steiermark;14730;1.18;29635;2.38
2021-01-16T23:59:59+01:00;7;757634;Tirol;9355;1.23;14153;1.87
2021-01-16T23:59:59+01:00;8;397139;Vorarlberg;9425;2.37;10438;2.63
2021-01-16T23:59:59+01:00;9;1911191;Wien;25195;1.32;40207;2.10
2021-01-16T23:59:59+01:00;10;8901064;Österreich;102790;1.15;182656;2.05
2021-01-17T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-17T23:59:59+01:00;1;294436;Burgenland;4125;1.4;5370;1.82
2021-01-17T23:59:59+01:00;2;561293;Kärnten;9510;1.69;9510;1.69
2021-01-17T23:59:59+01:00;3;1684287;Niederösterreich;20713;1.23;27214;1.62
2021-01-17T23:59:59+01:00;4;1490279;Oberösterreich;19781;1.33;36954;2.48
2021-01-17T23:59:59+01:00;5;558410;Salzburg;8635;1.55;10915;1.95
2021-01-17T23:59:59+01:00;6;1246395;Steiermark;22675;1.82;29635;2.38
2021-01-17T23:59:59+01:00;7;757634;Tirol;12838;1.69;14153;1.87
2021-01-17T23:59:59+01:00;8;397139;Vorarlberg;9765;2.46;10438;2.63
2021-01-17T23:59:59+01:00;9;1911191;Wien;32190;1.68;40207;2.10
2021-01-17T23:59:59+01:00;10;8901064;Österreich;140232;1.58;184396;2.07
2021-01-18T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-18T23:59:59+01:00;1;294436;Burgenland;4410;1.5;5898;2.00
2021-01-18T23:59:59+01:00;2;561293;Kärnten;9510;1.69;9510;1.69
2021-01-18T23:59:59+01:00;3;1684287;Niederösterreich;23665;1.41;27262;1.62
2021-01-18T23:59:59+01:00;4;1490279;Oberösterreich;20269;1.36;35622;2.39
2021-01-18T23:59:59+01:00;5;558410;Salzburg;9445;1.69;10915;1.95
2021-01-18T23:59:59+01:00;6;1246395;Steiermark;24735;1.98;29683;2.38
2021-01-18T23:59:59+01:00;7;757634;Tirol;13363;1.76;14153;1.87
2021-01-18T23:59:59+01:00;8;397139;Vorarlberg;9895;2.49;10438;2.63
2021-01-18T23:59:59+01:00;9;1911191;Wien;35411;1.85;41893;2.19
2021-01-18T23:59:59+01:00;10;8901064;Österreich;150703;1.69;185374;2.08
2021-01-19T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-19T23:59:59+01:00;1;294436;Burgenland;4725;1.6;5898;2.00
2021-01-19T23:59:59+01:00;2;561293;Kärnten;9510;1.69;12030;2.14
2021-01-19T23:59:59+01:00;3;1684287;Niederösterreich;24591;1.46;27262;1.62
2021-01-19T23:59:59+01:00;4;1490279;Oberösterreich;26221;1.76;36258;2.43
2021-01-19T23:59:59+01:00;5;558410;Salzburg;10050;1.8;12235;2.19
2021-01-19T23:59:59+01:00;6;1246395;Steiermark;25445;2.04;29638;2.38
2021-01-19T23:59:59+01:00;7;757634;Tirol;13363;1.76;14453;1.91
2021-01-19T23:59:59+01:00;8;397139;Vorarlberg;9970;2.51;10438;2.63
2021-01-19T23:59:59+01:00;9;1911191;Wien;38235;2;45949;2.40
2021-01-19T23:59:59+01:00;10;8901064;Österreich;162110;1.82;194161;2.18
2021-01-20T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-20T23:59:59+01:00;1;294436;Burgenland;4851;1.65;5898;2.00
2021-01-20T23:59:59+01:00;2;561293;Kärnten;9510;1.69;12030;2.14
2021-01-20T23:59:59+01:00;3;1684287;Niederösterreich;24848;1.48;27298;1.62
2021-01-20T23:59:59+01:00;4;1490279;Oberösterreich;26657;1.79;35834;2.40
2021-01-20T23:59:59+01:00;5;558410;Salzburg;10115;1.81;14166;2.54
2021-01-20T23:59:59+01:00;6;1246395;Steiermark;25973;2.08;32849;2.64
2021-01-20T23:59:59+01:00;7;757634;Tirol;13508;1.78;14453;1.91
2021-01-20T23:59:59+01:00;8;397139;Vorarlberg;10285;2.59;10438;2.63
2021-01-20T23:59:59+01:00;9;1911191;Wien;41209;2.16;49465;2.59
2021-01-20T23:59:59+01:00;10;8901064;Österreich;166956;1.88;202431;2.27
2021-01-21T23:59:59+01:00;0;;Bundesbeschaffung;;;;
2021-01-21T23:59:59+01:00;1;294436;Burgenland;4851;1.65;5946;2.02
2021-01-21T23:59:59+01:00;2;561293;Kärnten;11310;2.01;13134;2.34
2021-01-21T23:59:59+01:00;3;1684287;Niederösterreich;24951;1.48;30628;1.82
2021-01-21T23:59:59+01:00;4;1490279;Oberösterreich;26837;1.8;36920;2.48
