Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;6264;5394,69831372617;305;2021-01-01T13:02:00
Baden;4415;3019,77387604906;306;2021-01-01T13:02:00
Bludenz;2827;4437,01541262517;801;2021-01-01T13:02:00
Braunau am Inn;4338;4154,85403417363;404;2021-01-01T13:02:00
Bregenz;6189;4605,49325435509;802;2021-01-01T13:02:00
Bruck an der Leitha;2815;2759,53337908048;307;2021-01-01T13:02:00
Bruck-Mürzzuschlag;3616;3653,11565505536;621;2021-01-01T13:02:00
Deutschlandsberg;1865;3066,37510070535;603;2021-01-01T13:02:00
Dornbirn;5029;5647,95992857223;803;2021-01-01T13:02:00
Eferding;2019;6089,39558450959;405;2021-01-01T13:02:00
Eisenstadt(Stadt);499;3409,16854546697;101;2021-01-01T13:02:00
Eisenstadt-Umgebung;1248;2907,26116430219;103;2021-01-01T13:02:00
Feldkirch;5284;4930,99039744678;804;2021-01-01T13:02:00
Feldkirchen;1247;4165,41403614257;210;2021-01-01T13:02:00
Freistadt;3584;5379,68508428273;406;2021-01-01T13:02:00
Gänserndorf;2349;2265,49389502922;308;2021-01-01T13:02:00
Gmünd;1511;4108,99301117668;309;2021-01-01T13:02:00
Gmunden;4568;4494,6915803249;407;2021-01-01T13:02:00
Graz(Stadt);9267;3208,72835051903;601;2021-01-01T13:02:00
Graz-Umgebung;4684;3036,43199792558;606;2021-01-01T13:02:00
Grieskirchen;3749;5792,55573925001;408;2021-01-01T13:02:00
Güssing;933;3616,69961623445;104;2021-01-01T13:02:00
Hallein;3868;6406,7313744327;502;2021-01-01T13:02:00
Hartberg-Fürstenfeld;3640;4016,68469025182;622;2021-01-01T13:02:00
Hermagor;892;4894,64442493415;203;2021-01-01T13:02:00
Hollabrunn;1164;2288,72547091903;310;2021-01-01T13:02:00
Horn;602;1936,31392730782;311;2021-01-01T13:02:00
Imst;2986;4972,02610896497;702;2021-01-01T13:02:00
Innsbruck-Land;9124;5088,16738977682;703;2021-01-01T13:02:00
Innsbruck-Stadt;6452;4883,80894708955;701;2021-01-01T13:02:00
Jennersdorf;615;3603,65639282785;105;2021-01-01T13:02:00
