Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4260;3668,80824017776;305;2020-11-29T17:02:00
Baden;3231;2209,94097248347;306;2020-11-29T17:02:00
Bludenz;2278;3575,35235584016;801;2020-11-29T17:02:00
Braunau am Inn;3127;2994,98122749215;404;2020-11-29T17:02:00
Bregenz;5028;3741,54468943244;802;2020-11-29T17:02:00
Bruck an der Leitha;2108;2066,46407214979;307;2020-11-29T17:02:00
Bruck-Mürzzuschlag;2598;2624,6666127859;621;2020-11-29T17:02:00
Deutschlandsberg;1109;1823,38337087519;603;2020-11-29T17:02:00
Dornbirn;4063;4563,0664525331;803;2020-11-29T17:02:00
Eferding;1739;5244,90288333937;405;2020-11-29T17:02:00
Eisenstadt(Stadt);353;2411,69638587142;101;2020-11-29T17:02:00
Eisenstadt-Umgebung;987;2299,25221888322;103;2020-11-29T17:02:00
Feldkirch;4100;3826,0902024095;804;2020-11-29T17:02:00
Feldkirchen;805;2688,98019173598;210;2020-11-29T17:02:00
Freistadt;2970;4458,05376683028;406;2020-11-29T17:02:00
Gänserndorf;1669;1609,66765040603;308;2020-11-29T17:02:00
Gmünd;1078;2931,49865390368;309;2020-11-29T17:02:00
Gmunden;3232;3180,13204632445;407;2020-11-29T17:02:00
Graz(Stadt);7060;2444,54755095116;601;2020-11-29T17:02:00
Graz-Umgebung;3348;2170,36172695449;606;2020-11-29T17:02:00
Grieskirchen;3103;4794,42530245206;408;2020-11-29T17:02:00
Güssing;702;2721,24665658798;104;2020-11-29T17:02:00
Hallein;2710;4488,68718322457;502;2020-11-29T17:02:00
Hartberg-Fürstenfeld;2630;2902,16503718744;622;2020-11-29T17:02:00
Hermagor;494;2710,71115013169;203;2020-11-29T17:02:00
Hollabrunn;991;1948,56266467419;310;2020-11-29T17:02:00
Horn;462;1486,00836281763;311;2020-11-29T17:02:00
Imst;2258;3759,82416411349;702;2020-11-29T17:02:00
Innsbruck-Land;7138;3980,63774969607;703;2020-11-29T17:02:00
Innsbruck-Stadt;5573;4218,45431837105;701;2020-11-29T17:02:00
Jennersdorf;485;2841,90788702684;105;2020-11-29T17:02:00
Kirchdorf an der Krems;1688;2968,38180986881;409;2020-11-29T17:02:00
Kitzbühel;2077;3251,35799376967;704;2020-11-29T17:02:00
Klagenfurt Land;1556;2602,00668896321;204;2020-11-29T17:02:00
Klagenfurt Stadt;2885;2861,6205600246;201;2020-11-29T17:02:00
Korneuburg;1963;2159,77731078568;312;2020-11-29T17:02:00
Krems an der Donau(Stadt);761;3059,17350056279;301;2020-11-29T17:02:00
Krems(Land);1578;2788,18291045304;313;2020-11-29T17:02:00
Kufstein;5290;4823,03386152696;705;2020-11-29T17:02:00
Landeck;2064;4652,63062981831;706;2020-11-29T17:02:00
Leibnitz;2250;2727,80175549197;610;2020-11-29T17:02:00
Leoben;1548;2577,42257742258;611;2020-11-29T17:02:00
Lienz;1776;3642,85274752323;707;2020-11-29T17:02:00
Liezen (inkl. Gröbming);2155;2697,08764596188;612;2020-11-29T17:02:00
Lilienfeld;725;2808,77111421044;314;2020-11-29T17:02:00
Linz(Stadt);6859;3334,04625569933;401;2020-11-29T17:02:00
Linz-Land;5093;3389,16505293699;410;2020-11-29T17:02:00
Mattersburg;898;2249,21728240451;106;2020-11-29T17:02:00
Melk;2178;2793,66871039737;315;2020-11-29T17:02:00
Mistelbach;1234;1634,80518792311;316;2020-11-29T17:02:00
Mödling;2553;2145,41420864216;317;2020-11-29T17:02:00
Murau;603;2180,12220253805;614;2020-11-29T17:02:00
Murtal;1775;2465,14082550969;620;2020-11-29T17:02:00
Neunkirchen;1883;2182,15109339329;318;2020-11-29T17:02:00
Neusiedl am See;1241;2083,89306824288;107;2020-11-29T17:02:00
Oberpullendorf;1109;2956,30847972703;108;2020-11-29T17:02:00
Oberwart;1541;2849,693024632;109;2020-11-29T17:02:00
Perg;2837;4144,08624139996;411;2020-11-29T17:02:00
Reutte;723;2213,03948576676;708;2020-11-29T17:02:00
Ried im Innkreis;3012;4921,24697732174;412;2020-11-29T17:02:00
Rohrbach;3370;5962,06920953931;413;2020-11-29T17:02:00
Rust(Stadt);47;2422,68041237113;102;2020-11-29T17:02:00
Salzburg(Stadt);4789;3105,4853415126;501;2020-11-29T17:02:00
Salzburg-Umgebung;5402;3547,38936571207;503;2020-11-29T17:02:00
Sankt Johann im Pongau;4158;5160,5376490884;504;2020-11-29T17:02:00
Sankt Pölten(Land);3262;2489,24025518147;319;2020-11-29T17:02:00
Sankt Pölten(Stadt);1701;3090,25506867233;302;2020-11-29T17:02:00
Sankt Veit an der Glan;1711;3136,28448354871;205;2020-11-29T17:02:00
Schärding;2597;4531,73259811192;414;2020-11-29T17:02:00
Scheibbs;1577;3808,90273651668;320;2020-11-29T17:02:00
Schwaz;5822;6941,44718801044;709;2020-11-29T17:02:00
Spittal an der Drau;1298;1705,85220328291;206;2020-11-29T17:02:00
Steyr(Stadt);1248;3267,61448432959;402;2020-11-29T17:02:00
Steyr-Land;2381;3940,29159150711;415;2020-11-29T17:02:00
Südoststeiermark;2328;2708,6460260393;623;2020-11-29T17:02:00
Tamsweg;910;4478,34645669291;505;2020-11-29T17:02:00
Tulln;2337;2252,07427894113;321;2020-11-29T17:02:00
Urfahr-Umgebung;4007;4686,27565639436;416;2020-11-29T17:02:00
Villach Land;1505;2327,27160264737;207;2020-11-29T17:02:00
Villach Stadt;1390;2233,18284787044;202;2020-11-29T17:02:00
Vöcklabruck;5011;3677,71718787843;417;2020-11-29T17:02:00
