Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;297;11;1;2020-05-13T15:00:00
Kärnten;388;13;2;2020-05-13T15:00:00
Niederösterreich;2467;90;3;2020-05-13T15:00:00
Oberösterreich;2177;54;4;2020-05-13T15:00:00
Salzburg;1171;36;5;2020-05-13T15:00:00
Steiermark;1482;126;6;2020-05-13T15:00:00
Tirol;3349;100;7;2020-05-13T15:00:00
Vorarlberg;847;18;8;2020-05-13T15:00:00
Wien;2126;144;9;2020-05-13T15:00:00
