Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;807;695,006631413955;305;2020-10-27T10:02:00
Baden;1172;801,625137651074;306;2020-10-27T10:02:00
Bludenz;730;1145,74504818407;801;2020-10-27T10:02:00
Braunau am Inn;586;561,259673588231;404;2020-10-27T10:02:00
Bregenz;1311;975,569826540559;802;2020-10-27T10:02:00
Bruck an der Leitha;850;833,251641995883;307;2020-10-27T10:02:00
Bruck-Mürzzuschlag;418;422,290471187263;621;2020-10-27T10:02:00
Deutschlandsberg;229;376,514690649611;603;2020-10-27T10:02:00
Dornbirn;1104;1239,87825833043;803;2020-10-27T10:02:00
Eferding;310;934,974062009893;405;2020-10-27T10:02:00
Eisenstadt(Stadt);73;498,736079797773;101;2020-10-27T10:02:00
Eisenstadt-Umgebung;273;635,963379691103;103;2020-10-27T10:02:00
Feldkirch;1205;1124,49724241548;804;2020-10-27T10:02:00
Feldkirchen;80;267,227845141464;210;2020-10-27T10:02:00
Freistadt;611;917,128232839495;406;2020-10-27T10:02:00
Gänserndorf;779;751,306830237448;308;2020-10-27T10:02:00
Gmünd;278;755,989448780355;309;2020-10-27T10:02:00
Gmunden;841;827,503419232321;407;2020-10-27T10:02:00
Graz(Stadt);2162;748,599405829519;601;2020-10-27T10:02:00
Graz-Umgebung;886;574,354985090108;606;2020-10-27T10:02:00
Grieskirchen;629;971,863846355897;408;2020-10-27T10:02:00
Güssing;142;550,451602899562;104;2020-10-27T10:02:00
Hallein;993;1644,74773909299;502;2020-10-27T10:02:00
Hartberg-Fürstenfeld;640;706,23027520911;622;2020-10-27T10:02:00
Hermagor;87;477,39244951712;203;2020-10-27T10:02:00
Hollabrunn;192;377,521727161902;310;2020-10-27T10:02:00
Horn;156;501,769057574783;311;2020-10-27T10:02:00
Imst;783;1303,78313573998;702;2020-10-27T10:02:00
Innsbruck-Land;2142;1194,52592600854;703;2020-10-27T10:02:00
Innsbruck-Stadt;2504;1895,39020513209;701;2020-10-27T10:02:00
Jennersdorf;58;339,857025665065;105;2020-10-27T10:02:00
Kirchdorf an der Krems;257;451,939647592586;409;2020-10-27T10:02:00
Kitzbühel;606;948,638875408963;704;2020-10-27T10:02:00
Klagenfurt Land;198;331,103678929766;204;2020-10-27T10:02:00
Klagenfurt Stadt;504;499,915688822322;201;2020-10-27T10:02:00
Korneuburg;843;927,504978600271;312;2020-10-27T10:02:00
Krems an der Donau(Stadt);213;856,246985045827;301;2020-10-27T10:02:00
Krems(Land);508;897,589935684501;313;2020-10-27T10:02:00
Kufstein;1466;1336,59123648365;705;2020-10-27T10:02:00
Landeck;1418;3196,4293764934;706;2020-10-27T10:02:00
Leibnitz;518;628,000581931041;610;2020-10-27T10:02:00
Leoben;349;581,085581085581;611;2020-10-27T10:02:00
