Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4803;4136,45210741168;305;2020-12-09T22:02:00
Baden;3642;2491,05695505564;306;2020-12-09T22:02:00
Bludenz;2532;3974,00885205763;801;2020-12-09T22:02:00
Braunau am Inn;3639;3485,36510612214;404;2020-12-09T22:02:00
Bregenz;5451;4056,31664719496;802;2020-12-09T22:02:00
Bruck an der Leitha;2399;2351,7302225272;307;2020-12-09T22:02:00
Bruck-Mürzzuschlag;3043;3074,23421967187;621;2020-12-09T22:02:00
Deutschlandsberg;1285;2112,75710692031;603;2020-12-09T22:02:00
Dornbirn;4385;4924,69761121281;803;2020-12-09T22:02:00
Eferding;1877;5661,11714320183;405;2020-12-09T22:02:00
Eisenstadt(Stadt);417;2848,94445583111;101;2020-12-09T22:02:00
Eisenstadt-Umgebung;1082;2520,55815687097;103;2020-12-09T22:02:00
Feldkirch;4559;4254,42566653291;804;2020-12-09T22:02:00
Feldkirchen;928;3099,84300364098;210;2020-12-09T22:02:00
Freistadt;3188;4785,27791537203;406;2020-12-09T22:02:00
Gänserndorf;1839;1773,62421156183;308;2020-12-09T22:02:00
Gmünd;1262;3431,86577108204;309;2020-12-09T22:02:00
Gmunden;3660;3601,26339404316;407;2020-12-09T22:02:00
Graz(Stadt);7992;2767,25552793225;601;2020-12-09T22:02:00
Graz-Umgebung;3926;2545,05380526384;606;2020-12-09T22:02:00
Grieskirchen;3366;5200,78490752615;408;2020-12-09T22:02:00
Güssing;781;3027,48381594759;104;2020-12-09T22:02:00
Hallein;3022;5005,4659290423;502;2020-12-09T22:02:00
Hartberg-Fürstenfeld;3036;3350,17986802322;622;2020-12-09T22:02:00
Hermagor;604;3314,31079894644;203;2020-12-09T22:02:00
Hollabrunn;1048;2060,63942742538;310;2020-12-09T22:02:00
Horn;520;1672,56352524928;311;2020-12-09T22:02:00
Imst;2506;4172,77207939257;702;2020-12-09T22:02:00
Innsbruck-Land;7873;4390,52409685586;703;2020-12-09T22:02:00
Innsbruck-Stadt;5927;4486,41283778669;701;2020-12-09T22:02:00
Jennersdorf;554;3246,22055549045;105;2020-12-09T22:02:00
Kirchdorf an der Krems;1910;3358,77325642739;409;2020-12-09T22:02:00
Kitzbühel;2291;3586,35588046524;704;2020-12-09T22:02:00
Klagenfurt Land;1787;2988,29431438127;204;2020-12-09T22:02:00
Klagenfurt Stadt;3316;3289,12782566432;201;2020-12-09T22:02:00
Korneuburg;2101;2311,61086600139;312;2020-12-09T22:02:00
Krems an der Donau(Stadt);813;3268,21032320309;301;2020-12-09T22:02:00
Krems(Land);1725;3047,91858081843;313;2020-12-09T22:02:00
Kufstein;5708;5204,1355919841;705;2020-12-09T22:02:00
Landeck;2224;5013,2996708895;706;2020-12-09T22:02:00
Leibnitz;2547;3087,87158721691;610;2020-12-09T22:02:00
Leoben;1751;2915,41791541792;611;2020-12-09T22:02:00
Lienz;2122;4352,55266342584;707;2020-12-09T22:02:00
Liezen (inkl. Gröbming);2417;3024,99342936884;612;2020-12-09T22:02:00
Lilienfeld;844;3269,79699364637;314;2020-12-09T22:02:00
Linz(Stadt);7620;3703,95574696441;401;2020-12-09T22:02:00
Linz-Land;5655;3763,15106506159;410;2020-12-09T22:02:00
Mattersburg;1045;2617,40763932373;106;2020-12-09T22:02:00
Melk;2570;3296,47777122188;315;2020-12-09T22:02:00
Mistelbach;1334;1767,28534901898;316;2020-12-09T22:02:00
Mödling;2847;2392,4771844905;317;2020-12-09T22:02:00
Murau;803;2903,21414367837;614;2020-12-09T22:02:00
Murtal;2148;2983,1676017999;620;2020-12-09T22:02:00
Neunkirchen;2234;2588,91425525258;318;2020-12-09T22:02:00
Neusiedl am See;1363;2288,75604513702;107;2020-12-09T22:02:00
Oberpullendorf;1201;3201,55679364487;108;2020-12-09T22:02:00
Oberwart;1639;3030,91944670464;109;2020-12-09T22:02:00
Perg;3144;4592,52983537592;411;2020-12-09T22:02:00
Reutte;810;2479,33884297521;708;2020-12-09T22:02:00
Ried im Innkreis;3288;5372,19789556238;412;2020-12-09T22:02:00
Rohrbach;3492;6177,90672988465;413;2020-12-09T22:02:00
Rust(Stadt);50;2577,31958762887;102;2020-12-09T22:02:00
Salzburg(Stadt);5400;3501,69572857967;501;2020-12-09T22:02:00
Salzburg-Umgebung;5904;3877,04309795707;503;2020-12-09T22:02:00
Sankt Johann im Pongau;4622;5736,41294230077;504;2020-12-09T22:02:00
Sankt Pölten(Land);3676;2805,1646775129;319;2020-12-09T22:02:00
Sankt Pölten(Stadt);1970;3578,95501780394;302;2020-12-09T22:02:00
Sankt Veit an der Glan;2026;3713,68343873156;205;2020-12-09T22:02:00
Schärding;2942;5133,75329366395;414;2020-12-09T22:02:00
Scheibbs;1803;4354,75690167379;320;2020-12-09T22:02:00
Schwaz;6308;7520,89468601338;709;2020-12-09T22:02:00
Spittal an der Drau;1505;1977,89488901447;206;2020-12-09T22:02:00
Steyr(Stadt);1358;3555,62537637787;402;2020-12-09T22:02:00
Steyr-Land;2618;4332,50037235011;415;2020-12-09T22:02:00
Südoststeiermark;2681;3119,36425936915;623;2020-12-09T22:02:00
Tamsweg;1183;5821,85039370079;505;2020-12-09T22:02:00
Tulln;2522;2430,35144693604;321;2020-12-09T22:02:00
Urfahr-Umgebung;4297;5025,437108941;416;2020-12-09T22:02:00
Villach Land;1817;2809,7358817344;207;2020-12-09T22:02:00
Villach Stadt;1579;2536,83145092621;202;2020-12-09T22:02:00
Vöcklabruck;5555;4076,97445193867;417;2020-12-09T22:02:00
Voitsberg;1713;3348,2535525107;616;2020-12-09T22:02:00
Völkermarkt;1845;4405,65452027317;208;2020-12-09T22:02:00
Waidhofen an der Thaya;743;2870,05562422744;322;2020-12-09T22:02:00
Waidhofen an der Ybbs(Stadt);377;3347,83766983394;303;2020-12-09T22:02:00
Weiz;2285;2529,24963749267;617;2020-12-09T22:02:00
Wels(Stadt);2769;4485,88138091921;403;2020-12-09T22:02:00
Wels-Land;2639;3610,41945987359;418;2020-12-09T22:02:00
Wien(Stadt);64691;3409,29153287157;900;2020-12-09T22:02:00
Wiener Neustadt(Land);1783;2286,16122373094;323;2020-12-09T22:02:00
Wiener Neustadt(Stadt);1420;3136,25019325485;304;2020-12-09T22:02:00
Wolfsberg;1928;3656,63998786178;209;2020-12-09T22:02:00
Zell am See;3622;4141,22704717477;506;2020-12-09T22:02:00
Zwettl;1393;3299,22789067311;325;2020-12-09T22:02:00
