Altersgruppe;Anzahl_demografisch;Timestamp
<5;0;2020-05-06T09:20:13
5-14;0;2020-05-06T09:20:13
15-24;0;2020-05-06T09:20:13
25-34;0;2020-05-06T09:20:13
35-44;0;2020-05-06T09:20:13
45-54;0;2020-05-06T09:20:13
55-64;1;2020-05-06T09:20:13
65-74;11;2020-05-06T09:20:13
75-84;35;2020-05-06T09:20:13
>84;102;2020-05-06T09:20:13
