Bundesland;Anzahl;GKZ;Timestamp
Wien;5507;9;2020-10-17T21:02:00
Vorarlberg;623;8;2020-10-17T21:02:00
Tirol;1544;7;2020-10-17T21:02:00
Steiermark;955;6;2020-10-17T21:02:00
Salzburg;900;5;2020-10-17T21:02:00
Oberösterreich;1679;4;2020-10-17T21:02:00
Niederösterreich;1484;3;2020-10-17T21:02:00
Kärnten;345;2;2020-10-17T21:02:00
Burgenland;316;1;2020-10-17T21:02:00
