Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;386;11;1;2020-08-09T05:00:00
Kärnten;443;13;2;2020-08-09T05:00:00
Niederösterreich;3172;114;3;2020-08-09T05:00:00
Oberösterreich;3529;63;4;2020-08-09T05:00:00
Salzburg;1300;38;5;2020-08-09T05:00:00
Steiermark;1892;142;6;2020-08-09T05:00:00
Tirol;3562;101;7;2020-08-09T05:00:00
Vorarlberg;937;19;8;2020-08-09T05:00:00
Wien;4591;210;9;2020-08-09T05:00:00
