Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;195;0;96
Rust(Stadt);102;1980;18;0;10
Eisenstadt-Umgebung;103;43236;507;4;145
Güssing;104;25699;289;0;110
Jennersdorf;105;17097;178;2;86
Mattersburg;106;40042;434;1;128
Neusiedl am See;107;59990;670;10;177
Oberpullendorf;108;37384;484;2;169
Oberwart;109;54192;868;12;292
Klagenfurt Stadt;201;101300;1016;23;363
Villach Stadt;202;62882;472;1;190
Hermagor;203;18054;203;0;96
Klagenfurt Land;204;60014;460;2;224
Sankt Veit an der Glan;205;54186;476;1;204
Spittal an der Drau;206;75868;284;1;93
Villach Land;207;64618;440;4;201
Völkermarkt;208;41862;428;3;162
Wolfsberg;209;52607;391;3;162
Feldkirchen;210;29902;214;1;95
Krems an der Donau(Stadt);301;25036;354;6;113
Sankt Pölten(Stadt);302;55514;804;8;221
Waidhofen an der Ybbs(Stadt);303;11222;114;3;35
Wiener Neustadt(Stadt);304;45823;771;0;178
Amstetten;305;116520;1601;24;589
Baden;306;146751;1814;10;487
Bruck an der Leitha;307;103735;1224;5;269
Gänserndorf;308;104782;1043;7;200
Gmünd;309;36553;566;4;195
Hollabrunn;310;51033;455;2;220
Horn;311;30936;255;5;73
Korneuburg;312;91254;1198;7;280
Krems(Land);313;56487;873;9;280
Lilienfeld;314;25655;380;6;105
Melk;315;78191;879;6;246
Mistelbach;316;75625;668;12;141
Mödling;317;119115;1635;13;432
Neunkirchen;318;86343;1071;10;250
Sankt Pölten(Land);319;131729;1591;15;418
Scheibbs;320;41414;495;2;198
Tulln;321;104593;1357;7;372
Waidhofen an der Thaya;322;25682;412;2;94
Wiener Neustadt(Land);323;78307;817;10;207
Zwettl;325;41987;542;3;140
Linz(Stadt);401;206595;3463;37;851
Steyr(Stadt);402;38056;628;2;221
Wels(Stadt);403;62470;1246;8;263
Braunau am Inn;404;105553;1202;10;429
Eferding;405;33178;737;7;292
Freistadt;406;66861;1211;13;463
Gmunden;407;101859;1684;3;645
Grieskirchen;408;64875;1264;2;437
Kirchdorf an der Krems;409;57071;582;5;254
Linz-Land;410;151371;2415;13;678
Perg;411;68968;1243;7;475
Ried im Innkreis;412;61690;1415;8;571
Rohrbach;413;56545;1320;4;469
Schärding;414;57391;1194;4;488
Steyr-Land;415;60717;1023;15;380
Urfahr-Umgebung;416;86005;1660;8;711
Vöcklabruck;417;137297;2161;9;742
Wels-Land;418;73777;970;2;275
Salzburg(Stadt);501;155021;2014;5;671
Hallein;502;60824;1433;8;338
Salzburg-Umgebung;503;153492;2504;17;855
Sankt Johann im Pongau;504;81194;2099;18;642
Tamsweg;505;20251;309;2;144
Zell am See;506;87628;1188;9;311
Graz(Stadt);601;291072;3522;52;1006
Deutschlandsberg;603;60867;514;3;219
Graz-Umgebung;606;156070;1540;52;489
Leibnitz;610;84756;1079;17;397
Leoben;611;59700;657;8;231
Liezen;612;79652;1026;3;402
Murau;614;27543;156;0;85
Voitsberg;616;51044;593;13;176
Weiz;617;90654;944;20;325
Murtal;620;71698;610;5;232
Bruck-Mürzzuschlag;621;98697;955;27;405
Hartberg-Fürstenfeld;622;90606;1183;51;425
Südoststeiermark;623;84036;928;4;459
Innsbruck-Stadt;701;131961;3455;16;657
Imst;702;60474;1184;6;306
Innsbruck-Land;703;180453;3566;15;973
Kitzbühel;704;64168;1021;13;319
Kufstein;705;110287;2367;39;621
Landeck;706;44386;1569;18;156
Lienz;707;48738;534;6;184
Reutte;708;32838;329;2;110
Schwaz;709;84329;2783;22;872
Bludenz;801;64107;1142;7;299
Bregenz;802;134987;2387;16;821
Dornbirn;803;89912;2128;12;740
Feldkirch;804;108133;1970;7;559
Wien;900;1911191;37018;400;5762
