Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;14996;5.09;17676;6.00;294436;1
Kärnten;38285;6.82;42893;7.64;561293;2
Niederösterreich;86038;5.11;108370;6.43;1684287;3
Oberösterreich;89970;6.04;119852;8.04;1490279;4
Salzburg;30093;5.39;35207;6.30;558410;5
Steiermark;77497;6.22;82415;6.61;1246395;6
Tirol;46142;6.09;56056;7.40;757634;7
Vorarlberg;27775;6.99;27841;7.01;397139;8
Wien;111789;5.85;129633;6.78;1911191;9
Österreich;522585;5.87;619943;6.96;8901064;10
Stand;2021-02-22 18:00;2021-02-22 18:00;2021-02-22 18:00;2021-02-22 18:00;2020-01-01 00:00;
