Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;13770;4.68;15014;5.10;294436;1
Kärnten;31397;5.59;42618;7.59;561293;2
Niederösterreich;81838;4.86;90764;5.39;1684287;3
Oberösterreich;85382;5.73;109286;7.33;1490279;4
Salzburg;27771;4.97;30279;5.42;558410;5
Steiermark;72945;5.85;80329;6.44;1246395;6
Tirol;40408;5.33;47985;6.33;757634;7
Vorarlberg;22529;5.67;27775;6.99;397139;8
Wien;108747;5.69;115677;6.05;1911191;9
Österreich;484787;5.45;559727;6.29;8901064;10
Stand;2021-02-18 18:00;2021-02-18 18:00;2021-02-18 18:00;2021-02-18 18:00;2020-01-01 00:00;
