Bundesland;Anzahl;GKZ;Timestamp
Wien;2490;9;2021-01-29T16:02:00
Vorarlberg;689;8;2021-01-29T16:02:00
Tirol;1286;7;2021-01-29T16:02:00
Steiermark;2199;6;2021-01-29T16:02:00
Salzburg;1677;5;2021-01-29T16:02:00
Oberösterreich;1686;4;2021-01-29T16:02:00
Niederösterreich;3139;3;2021-01-29T16:02:00
Kärnten;1003;2;2021-01-29T16:02:00
Burgenland;427;1;2021-01-29T16:02:00
