Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;73;0;20
Rust(Stadt);102;1940;5;0;2
Eisenstadt-Umgebung;103;42927;274;4;93
Güssing;104;25797;143;0;28
Jennersdorf;105;17066;61;0;30
Mattersburg;106;39925;250;1;77
Neusiedl am See;107;59552;438;8;55
Oberpullendorf;108;37513;227;1;98
Oberwart;109;54076;472;6;143
Klagenfurt Stadt;201;100817;523;4;161
Villach Stadt;202;62243;212;0;55
Hermagor;203;18224;86;0;20
Klagenfurt Land;204;59800;207;2;60
Sankt Veit an der Glan;205;54555;232;0;52
Spittal an der Drau;206;76091;139;1;28
Villach Land;207;64668;207;3;42
Völkermarkt;208;41878;222;4;53
Wolfsberg;209;52726;184;1;67
Feldkirchen;210;29937;86;0;35
Krems an der Donau(Stadt);301;24876;214;6;45
Sankt Pölten(Stadt);302;55044;504;9;86
Waidhofen an der Ybbs(Stadt);303;11261;64;3;20
Wiener Neustadt(Stadt);304;45277;482;0;138
Amstetten;305;116114;818;18;261
Baden;306;146203;1186;7;270
Bruck an der Leitha;307;102010;851;5;168
Gänserndorf;308;103686;782;7;127
Gmünd;309;36773;279;1;96
Hollabrunn;310;50858;197;2;55
Horn;311;31090;156;5;18
Korneuburg;312;90889;844;6;211
Krems(Land);313;56596;516;9;104
Lilienfeld;314;25812;228;5;91
Melk;315;77962;548;6;94
Mistelbach;316;75483;495;7;56
Mödling;317;118998;1090;13;227
Neunkirchen;318;86291;699;10;96
Sankt Pölten(Land);319;131044;1015;11;224
Scheibbs;320;41403;232;2;40
Tulln;321;103771;822;6;231
Waidhofen an der Thaya;322;25888;258;2;61
Wiener Neustadt(Land);323;77991;508;9;141
Zwettl;325;42222;331;2;71
Linz(Stadt);401;205726;2237;27;444
Steyr(Stadt);402;38193;330;2;96
Wels(Stadt);403;61727;836;1;203
Braunau am Inn;404;104408;589;7;114
Eferding;405;33156;319;6;138
Freistadt;406;66621;614;7;201
Gmunden;407;101631;873;3;330
Grieskirchen;408;64721;630;1;251
Kirchdorf an der Krems;409;56866;268;3;78
Linz-Land;410;150273;1447;11;288
Perg;411;68459;644;4;137
Ried im Innkreis;412;61204;732;1;277
Rohrbach;413;56524;628;1;227
Schärding;414;57307;512;1;168
Steyr-Land;415;60427;521;8;149
Urfahr-Umgebung;416;85505;753;6;163
Vöcklabruck;417;136253;1198;4;371
Wels-Land;418;73094;575;1;160
Salzburg(Stadt);501;154211;1149;4;335
Hallein;502;60374;996;4;273
Salzburg-Umgebung;503;152281;1427;13;496
Sankt Johann im Pongau;504;80573;1251;18;366
Tamsweg;505;20320;135;1;50
Zell am See;506;87462;785;9;180
Graz(Stadt);601;288806;2194;56;524
Deutschlandsberg;603;60821;235;3;89
Graz-Umgebung;606;154260;897;42;259
Leibnitz;610;82484;539;9;177
Leoben;611;60060;349;3;136
Liezen;612;79901;464;2;176
Murau;614;27659;52;0;7
Voitsberg;616;51161;360;7;106
Weiz;617;90343;525;18;125
Murtal;620;72004;317;3;93
Bruck-Mürzzuschlag;621;98984;419;15;152
Hartberg-Fürstenfeld;622;90622;653;45;156
Südoststeiermark;623;85947;314;2;160
Innsbruck-Stadt;701;132110;2521;11;535
Imst;702;60056;783;6;158
Innsbruck-Land;703;179318;2165;14;522
Kitzbühel;704;63881;608;11;85
Kufstein;705;109682;1475;36;331
Landeck;706;44362;1419;17;101
Lienz;707;48753;315;6;95
Reutte;708;32670;189;1;32
Schwaz;709;83873;1557;15;470
Bludenz;801;63714;742;6;149
Bregenz;802;134383;1333;13;363
Dornbirn;803;89041;1133;6;414
Feldkirch;804;107159;1219;5;335
Wien;900;1897491;28360;325;4577
