Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4006;3450,05770191364;305;2020-11-26T17:02:00
Baden;3114;2129,91525481693;306;2020-11-26T17:02:00
Bludenz;2190;3437,23514455222;801;2020-11-26T17:02:00
Braunau am Inn;2933;2809,17171098;404;2020-11-26T17:02:00
Bregenz;4870;3623,97029386158;802;2020-11-26T17:02:00
Bruck an der Leitha;2029;1989,02068424664;307;2020-11-26T17:02:00
Bruck-Mürzzuschlag;2415;2439,78824860584;621;2020-11-26T17:02:00
Deutschlandsberg;1074;1765,83745745713;603;2020-11-26T17:02:00
Dornbirn;3977;4466,48173313417;803;2020-11-26T17:02:00
Eferding;1695;5112,19688744119;405;2020-11-26T17:02:00
Eisenstadt(Stadt);340;2322,88037166086;101;2020-11-26T17:02:00
Eisenstadt-Umgebung;943;2196,75262655205;103;2020-11-26T17:02:00
Feldkirch;3964;3699,17599081738;804;2020-11-26T17:02:00
Feldkirchen;727;2428,43304272305;210;2020-11-26T17:02:00
Freistadt;2719;4081,29568754597;406;2020-11-26T17:02:00
Gänserndorf;1618;1560,48068205929;308;2020-11-26T17:02:00
Gmünd;1048;2849,91705871155;309;2020-11-26T17:02:00
Gmunden;3138;3087,64058210585;407;2020-11-26T17:02:00
Graz(Stadt);6792;2351,75169490939;601;2020-11-26T17:02:00
Graz-Umgebung;3177;2059,50991831972;606;2020-11-26T17:02:00
Grieskirchen;2999;4633,73557268893;408;2020-11-26T17:02:00
Güssing;688;2666,97678024577;104;2020-11-26T17:02:00
Hallein;2593;4294,89515354292;502;2020-11-26T17:02:00
Hartberg-Fürstenfeld;2498;2756,50504292556;622;2020-11-26T17:02:00
Hermagor;468;2568,04214223003;203;2020-11-26T17:02:00
Hollabrunn;955;1877,77734083133;310;2020-11-26T17:02:00
Horn;449;1444,19427468639;311;2020-11-26T17:02:00
Imst;2181;3631,61049686959;702;2020-11-26T17:02:00
Innsbruck-Land;6932;3865,75803879142;703;2020-11-26T17:02:00
Innsbruck-Stadt;5429;4109,45424267656;701;2020-11-26T17:02:00
Jennersdorf;471;2759,87343255596;105;2020-11-26T17:02:00
Kirchdorf an der Krems;1610;2831,21724756445;409;2020-11-26T17:02:00
Kitzbühel;2014;3152,73712058359;704;2020-11-26T17:02:00
Klagenfurt Land;1439;2406,35451505017;204;2020-11-26T17:02:00
Klagenfurt Stadt;2692;2670,18459188431;201;2020-11-26T17:02:00
Korneuburg;1917;2109,16612571378;312;2020-11-26T17:02:00
Krems an der Donau(Stadt);732;2942,59527255186;301;2020-11-26T17:02:00
Krems(Land);1517;2680,40144179801;313;2020-11-26T17:02:00
Kufstein;5083;4634,30644955417;705;2020-11-26T17:02:00
Landeck;2044;4607,54699968441;706;2020-11-26T17:02:00
Leibnitz;2177;2639,29974298046;610;2020-11-26T17:02:00
Leoben;1493;2485,84748584749;611;2020-11-26T17:02:00
Lienz;1614;3310,56550366131;707;2020-11-26T17:02:00
Liezen (inkl. Gröbming);2058;2575,6874131738;612;2020-11-26T17:02:00
Lilienfeld;699;2708,04277080428;314;2020-11-26T17:02:00
Linz(Stadt);6648;3231,48265168233;401;2020-11-26T17:02:00
Linz-Land;4942;3288,68126676116;410;2020-11-26T17:02:00
Mattersburg;821;2056,35566687539;106;2020-11-26T17:02:00
Melk;2053;2633,33418845078;315;2020-11-26T17:02:00
Mistelbach;1187;1572,53951220805;316;2020-11-26T17:02:00
