Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;13840;4.7;15146;5.14;294436;1
Kärnten;31685;5.65;42443;7.56;561293;2
Niederösterreich;84462;5.01;97188;5.77;1684287;3
Oberösterreich;89682;6.02;118170;7.93;1490279;4
Salzburg;29193;5.23;30279;5.42;558410;5
Steiermark;74269;5.96;81977;6.58;1246395;6
Tirol;41720;5.51;51850;6.84;757634;7
Vorarlberg;26101;6.57;27775;6.99;397139;8
Wien;111031;5.81;127113;6.65;1911191;9
Österreich;501983;5.64;591941;6.65;8901064;10
Stand;2021-02-19 18:00;2021-02-19 18:00;2021-02-19 18:00;2021-02-19 18:00;2020-01-01 00:00;
