Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4495;3871,19554920165;305;2020-12-04T19:02:00
Baden;3447;2357,68075894475;306;2020-12-04T19:02:00
Bludenz;2387;3746,42935618545;801;2020-12-04T19:02:00
Braunau am Inn;3435;3289,9777794805;404;2020-12-04T19:02:00
Bregenz;5228;3890,37303825633;802;2020-12-04T19:02:00
Bruck an der Leitha;2230;2186,06019017743;307;2020-12-04T19:02:00
Bruck-Mürzzuschlag;2867;2896,42770548776;621;2020-12-04T19:02:00
Deutschlandsberg;1202;1976,29108367176;603;2020-12-04T19:02:00
Dornbirn;4182;4696,71275030604;803;2020-12-04T19:02:00
Eferding;1821;5492,21860296779;405;2020-12-04T19:02:00
Eisenstadt(Stadt);404;2760,12844162055;101;2020-12-04T19:02:00
Eisenstadt-Umgebung;1043;2429,70624548652;103;2020-12-04T19:02:00
Feldkirch;4300;4012,7287488685;804;2020-12-04T19:02:00
Feldkirchen;858;2866,0186391422;210;2020-12-04T19:02:00
Freistadt;3077;4618,66378469251;406;2020-12-04T19:02:00
Gänserndorf;1751;1688,75257990471;308;2020-12-04T19:02:00
Gmünd;1166;3170,80466646724;309;2020-12-04T19:02:00
Gmunden;3500;3443,83111452214;407;2020-12-04T19:02:00
Graz(Stadt);7558;2616,98164165564;601;2020-12-04T19:02:00
Graz-Umgebung;3703;2400,49267470504;606;2020-12-04T19:02:00
Grieskirchen;3264;5043,18536487384;408;2020-12-04T19:02:00
Güssing;753;2918,94406326317;104;2020-12-04T19:02:00
Hallein;2889;4785,17242521615;502;2020-12-04T19:02:00
Hartberg-Fürstenfeld;2871;3168,10487519587;622;2020-12-04T19:02:00
Hermagor;543;2979,58735733099;203;2020-12-04T19:02:00
Hollabrunn;1025;2015,41547052578;310;2020-12-04T19:02:00
Horn;473;1521,38951431328;311;2020-12-04T19:02:00
Imst;2379;3961,3027840682;702;2020-12-04T19:02:00
Innsbruck-Land;7539;4204,26281801046;703;2020-12-04T19:02:00
Innsbruck-Stadt;5787;4380,4405419726;701;2020-12-04T19:02:00
Jennersdorf;531;3111,44966600258;105;2020-12-04T19:02:00
Kirchdorf an der Krems;1810;3182,92125347308;409;2020-12-04T19:02:00
Kitzbühel;2192;3431,3802226014;704;2020-12-04T19:02:00
Klagenfurt Land;1676;2802,67558528428;204;2020-12-04T19:02:00
Klagenfurt Stadt;3113;3087,77289544422;201;2020-12-04T19:02:00
Korneuburg;2013;2214,78946847253;312;2020-12-04T19:02:00
Krems an der Donau(Stadt);797;3203,89130085223;301;2020-12-04T19:02:00
Krems(Land);1672;2954,27238674111;313;2020-12-04T19:02:00
Kufstein;5491;5006,29091373243;705;2020-12-04T19:02:00
Landeck;2153;4853,25278391416;706;2020-12-04T19:02:00
Leibnitz;2484;3011,49313806314;610;2020-12-04T19:02:00
Leoben;1654;2753,91275391275;611;2020-12-04T19:02:00
Lienz;1999;4100,26049678994;707;2020-12-04T19:02:00
Liezen (inkl. Gröbming);2303;2882,31686712307;612;2020-12-04T19:02:00
Lilienfeld;769;2979,23446459011;314;2020-12-04T19:02:00
