Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;4487;3864,30576846892;305;2020-12-04T15:02:00
Baden;3438;2351,52493450887;306;2020-12-04T15:02:00
Bludenz;2376;3729,16470477446;801;2020-12-04T15:02:00
Braunau am Inn;3432;3287,10443644165;404;2020-12-04T15:02:00
Bregenz;5218;3882,93162081513;802;2020-12-04T15:02:00
Bruck an der Leitha;2227;2183,11930202921;307;2020-12-04T15:02:00
Bruck-Mürzzuschlag;2851;2880,26347692556;621;2020-12-04T15:02:00
Deutschlandsberg;1196;1966,42606994295;603;2020-12-04T15:02:00
Dornbirn;4176;4689,97428151076;803;2020-12-04T15:02:00
Eferding;1808;5453,0100132706;405;2020-12-04T15:02:00
Eisenstadt(Stadt);385;2630,32042085127;101;2020-12-04T15:02:00
Eisenstadt-Umgebung;1040;2422,71763691849;103;2020-12-04T15:02:00
Feldkirch;4282;3995,93127968719;804;2020-12-04T15:02:00
Feldkirchen;857;2862,67829107793;210;2020-12-04T15:02:00
Freistadt;3058;4590,14424881043;406;2020-12-04T15:02:00
Gänserndorf;1748;1685,85922882549;308;2020-12-04T15:02:00
Gmünd;1155;3140,8914148968;309;2020-12-04T15:02:00
Gmunden;3476;3420,21627259399;407;2020-12-04T15:02:00
Graz(Stadt);7542;2611,44159054867;601;2020-12-04T15:02:00
Graz-Umgebung;3703;2400,49267470504;606;2020-12-04T15:02:00
Grieskirchen;3226;4984,47180976808;408;2020-12-04T15:02:00
Güssing;747;2895,68554483079;104;2020-12-04T15:02:00
Hallein;2867;4748,73289826747;502;2020-12-04T15:02:00
Hartberg-Fürstenfeld;2868;3164,79442078083;622;2020-12-04T15:02:00
Hermagor;542;2974,10008779631;203;2020-12-04T15:02:00
Hollabrunn;1021;2007,55043454324;310;2020-12-04T15:02:00
Horn;473;1521,38951431328;311;2020-12-04T15:02:00
Imst;2376;3956,30744638338;702;2020-12-04T15:02:00
Innsbruck-Land;7512;4189,20576852296;703;2020-12-04T15:02:00
Innsbruck-Stadt;5760;4360,00302777988;701;2020-12-04T15:02:00
Jennersdorf;528;3093,87085433025;105;2020-12-04T15:02:00
Kirchdorf an der Krems;1788;3144,23381282313;409;2020-12-04T15:02:00
Kitzbühel;2189;3426,68399054492;704;2020-12-04T15:02:00
Klagenfurt Land;1670;2792,64214046823;204;2020-12-04T15:02:00
Klagenfurt Stadt;3105;3079,83772578037;201;2020-12-04T15:02:00
Korneuburg;2002;2202,68679378143;312;2020-12-04T15:02:00
Krems an der Donau(Stadt);796;3199,8713619553;301;2020-12-04T15:02:00
Krems(Land);1663;2938,37020284119;313;2020-12-04T15:02:00
Kufstein;5490;5005,37918710454;705;2020-12-04T15:02:00
Landeck;2145;4835,2193318606;706;2020-12-04T15:02:00
Leibnitz;2482;3009,06842539159;610;2020-12-04T15:02:00
Leoben;1651;2748,91774891775;611;2020-12-04T15:02:00
Lienz;1999;4100,26049678994;707;2020-12-04T15:02:00
Liezen (inkl. Gröbming);2302;2881,06531833144;612;2020-12-04T15:02:00
