Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;5364;1.82;6198;2.11;294436;1
Kärnten;12024;2.14;13956;2.49;561293;2
Niederösterreich;26584;1.58;39166;2.33;1684287;3
Oberösterreich;35042;2.35;46046;3.09;1490279;4
Salzburg;11059;1.98;14154;2.53;558410;5
Steiermark;28345;2.27;39798;3.19;1246395;6
Tirol;16023;2.11;17112;2.26;757634;7
Vorarlberg;10657;2.68;13588;3.42;397139;8
Wien;44893;2.35;52981;2.77;1911191;9
Österreich;189991;2.13;242999;2.73;8901064;10
Stand;2021-01-26 18:00;2021-01-26 18:00;2021-01-26 18:00;2021-01-26 18:00;2020-01-01 00:00;
