Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;14996;5.09;17676;6.00;294436;1
Kärnten;38285;6.82;42893;7.64;561293;2
Niederösterreich;85266;5.06;101300;6.01;1684287;3
Oberösterreich;89682;6.02;119852;8.04;1490279;4
Salzburg;29583;5.30;31689;5.67;558410;5
Steiermark;77251;6.20;82307;6.60;1246395;6
Tirol;43142;5.69;56056;7.40;757634;7
Vorarlberg;26191;6.59;27775;6.99;397139;8
Wien;111315;5.82;129633;6.78;1911191;9
Österreich;515711;5.79;609181;6.84;8901064;10
Stand;2021-02-20 18:00;2021-02-20 18:00;2021-02-20 18:00;2021-02-20 18:00;2020-01-01 00:00;
