Name;Auslieferungen;AuslieferungenPro100;Bestellungen;BestellungenPro100;Bevölkerung;BundeslandID
Burgenland;7998;2.72;10716;3.64;294436;1
Kärnten;21497;3.83;24737;4.41;561293;2
Niederösterreich;49576;2.94;61312;3.64;1684287;3
Oberösterreich;49150;3.30;78640;5.28;1490279;4
Salzburg;18391;3.29;22807;4.08;558410;5
Steiermark;44201;3.55;70265;5.64;1246395;6
Tirol;26136;3.45;33682;4.45;757634;7
Vorarlberg;17897;4.51;19913;5.01;397139;8
Wien;72511;3.79;95853;5.02;1911191;9
Österreich;307357;3.45;417925;4.70;8901064;10
Stand;2021-02-07 18:00;2021-02-07 18:00;2021-02-07 18:00;2021-02-07 18:00;2020-01-01 00:00;
