Altersgruppe;Anzahl;Timestamp
<5;98;2020-05-17T20:00:00
5-14;368;2020-05-17T20:00:00
15-24;1510;2020-05-17T20:00:00
25-34;2288;2020-05-17T20:00:00
35-44;2277;2020-05-17T20:00:00
45-54;3323;2020-05-17T20:00:00
55-64;2658;2020-05-17T20:00:00
65-74;1402;2020-05-17T20:00:00
75-84;1352;2020-05-17T20:00:00
>84;898;2020-05-17T20:00:00
