time;Belegung Intensivbetten in %;Timestamp
01.04.2020;21;2020-08-27T09:30:00
02.04.2020;23;2020-08-27T09:30:00
03.04.2020;26;2020-08-27T09:30:00
04.04.2020;25;2020-08-27T09:30:00
05.04.2020;24;2020-08-27T09:30:00
06.04.2020;24;2020-08-27T09:30:00
07.04.2020;21;2020-08-27T09:30:00
08.04.2020;21;2020-08-27T09:30:00
09.04.2020;21;2020-08-27T09:30:00
10.04.2020;21;2020-08-27T09:30:00
11.04.2020;22;2020-08-27T09:30:00
12.04.2020;22;2020-08-27T09:30:00
13.04.2020;19;2020-08-27T09:30:00
14.04.2020;20;2020-08-27T09:30:00
15.04.2020;20;2020-08-27T09:30:00
16.04.2020;21;2020-08-27T09:30:00
17.04.2020;19;2020-08-27T09:30:00
18.04.2020;18;2020-08-27T09:30:00
19.04.2020;16;2020-08-27T09:30:00
20.04.2020;17;2020-08-27T09:30:00
21.04.2020;17;2020-08-27T09:30:00
22.04.2020;14;2020-08-27T09:30:00
23.04.2020;15;2020-08-27T09:30:00
24.04.2020;13;2020-08-27T09:30:00
25.04.2020;12;2020-08-27T09:30:00
26.04.2020;12;2020-08-27T09:30:00
27.04.2020;12;2020-08-27T09:30:00
28.04.2020;11;2020-08-27T09:30:00
29.04.2020;11;2020-08-27T09:30:00
30.04.2020;11;2020-08-27T09:30:00
01.05.2020;11;2020-08-27T09:30:00
02.05.2020;10;2020-08-27T09:30:00
03.05.2020;10;2020-08-27T09:30:00
04.05.2020;10;2020-08-27T09:30:00
05.05.2020;9;2020-08-27T09:30:00
06.05.2020;9;2020-08-27T09:30:00
07.05.2020;8;2020-08-27T09:30:00
08.05.2020;8;2020-08-27T09:30:00
09.05.2020;7;2020-08-27T09:30:00
10.05.2020;7;2020-08-27T09:30:00
11.05.2020;6;2020-08-27T09:30:00
12.05.2020;5;2020-08-27T09:30:00
13.05.2020;5;2020-08-27T09:30:00
14.05.2020;5;2020-08-27T09:30:00
15.05.2020;5;2020-08-27T09:30:00
16.05.2020;6;2020-08-27T09:30:00
17.05.2020;5;2020-08-27T09:30:00
18.05.2020;5;2020-08-27T09:30:00
19.05.2020;4;2020-08-27T09:30:00
20.05.2020;4;2020-08-27T09:30:00
21.05.2020;4;2020-08-27T09:30:00
22.05.2020;3;2020-08-27T09:30:00
23.05.2020;3;2020-08-27T09:30:00
24.05.2020;3;2020-08-27T09:30:00
25.05.2020;3;2020-08-27T09:30:00
26.05.2020;3;2020-08-27T09:30:00
27.05.2020;4;2020-08-27T09:30:00
28.05.2020;3;2020-08-27T09:30:00
29.05.2020;3;2020-08-27T09:30:00
30.05.2020;3;2020-08-27T09:30:00
31.05.2020;3;2020-08-27T09:30:00
01.06.2020;3;2020-08-27T09:30:00
02.06.2020;3;2020-08-27T09:30:00
03.06.2020;2;2020-08-27T09:30:00
04.06.2020;3;2020-08-27T09:30:00
05.06.2020;2;2020-08-27T09:30:00
06.06.2020;2;2020-08-27T09:30:00
07.06.2020;2;2020-08-27T09:30:00
08.06.2020;2;2020-08-27T09:30:00
09.06.2020;2;2020-08-27T09:30:00
10.06.2020;2;2020-08-27T09:30:00
11.06.2020;2;2020-08-27T09:30:00
12.06.2020;1;2020-08-27T09:30:00
13.06.2020;1;2020-08-27T09:30:00
14.06.2020;1;2020-08-27T09:30:00
15.06.2020;2;2020-08-27T09:30:00
16.06.2020;1;2020-08-27T09:30:00
17.06.2020;1;2020-08-27T09:30:00
18.06.2020;1;2020-08-27T09:30:00
19.06.2020;1;2020-08-27T09:30:00
20.06.2020;1;2020-08-27T09:30:00
21.06.2020;1;2020-08-27T09:30:00
22.06.2020;1;2020-08-27T09:30:00
23.06.2020;1;2020-08-27T09:30:00
24.06.2020;1;2020-08-27T09:30:00
25.06.2020;1;2020-08-27T09:30:00
26.06.2020;1;2020-08-27T09:30:00
27.06.2020;1;2020-08-27T09:30:00
28.06.2020;1;2020-08-27T09:30:00
29.06.2020;1;2020-08-27T09:30:00
30.06.2020;1;2020-08-27T09:30:00
01.07.2020;1;2020-08-27T09:30:00
02.07.2020;1;2020-08-27T09:30:00
03.07.2020;1;2020-08-27T09:30:00
04.07.2020;1;2020-08-27T09:30:00
05.07.2020;1;2020-08-27T09:30:00
06.07.2020;1;2020-08-27T09:30:00
07.07.2020;1;2020-08-27T09:30:00
08.07.2020;2;2020-08-27T09:30:00
09.07.2020;2;2020-08-27T09:30:00
10.07.2020;1;2020-08-27T09:30:00
11.07.2020;1;2020-08-27T09:30:00
12.07.2020;1;2020-08-27T09:30:00
13.07.2020;1;2020-08-27T09:30:00
14.07.2020;1;2020-08-27T09:30:00
15.07.2020;1;2020-08-27T09:30:00
16.07.2020;2;2020-08-27T09:30:00
17.07.2020;1;2020-08-27T09:30:00
18.07.2020;1;2020-08-27T09:30:00
