Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;10416;185;1;2021-01-29T11:02:00
Kärnten;24058;612;2;2021-01-29T11:02:00
Niederösterreich;59582;1067;3;2021-01-29T11:02:00
Oberösterreich;76640;1233;4;2021-01-29T11:02:00
Salzburg;31625;432;5;2021-01-29T11:02:00
Steiermark;44872;1218;6;2021-01-29T11:02:00
Tirol;42999;534;7;2021-01-29T11:02:00
Vorarlberg;21541;234;8;2021-01-29T11:02:00
Wien;77743;1417;9;2021-01-29T11:02:00
