Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;4961;64;1;2020-11-25T08:02:00
Kärnten;8428;107;2;2020-11-25T08:02:00
Niederösterreich;26708;312;3;2020-11-25T08:02:00
Oberösterreich;40714;410;4;2020-11-25T08:02:00
Salzburg;12256;137;5;2020-11-25T08:02:00
Steiermark;14745;434;6;2020-11-25T08:02:00
Tirol;24115;248;7;2020-11-25T08:02:00
Vorarlberg;10909;100;8;2020-11-25T08:02:00
Wien;39784;568;9;2020-11-25T08:02:00
