Bundesland;Anzahl;GKZ;Timestamp
Wien;419;9;2020-05-29T02:59:59
Vorarlberg;14;8;2020-05-29T02:59:59
Tirol;25;7;2020-05-29T02:59:59
Steiermark;60;6;2020-05-29T02:59:59
Salzburg;9;5;2020-05-29T02:59:59
Oberösterreich;20;4;2020-05-29T02:59:59
Niederösterreich;115;3;2020-05-29T02:59:59
Kärnten;3;2;2020-05-29T02:59:59
Burgenland;9;1;2020-05-29T02:59:59
