Bundesland;Genesen;Todesfälle;GKZ;Timestamp
Burgenland;9900;175;1;2021-01-21T07:02:00
Kärnten;23001;570;2;2021-01-21T07:02:00
Niederösterreich;56971;997;3;2021-01-21T07:02:00
Oberösterreich;74578;1188;4;2021-01-21T07:02:00
Salzburg;29833;408;5;2021-01-21T07:02:00
Steiermark;43078;1188;6;2021-01-21T07:02:00
Tirol;42006;520;7;2021-01-21T07:02:00
Vorarlberg;20840;227;8;2021-01-21T07:02:00
Wien;74617;1303;9;2021-01-21T07:02:00
