Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;498;9;46
Rust(Stadt);102;1980;51;0;1
Eisenstadt-Umgebung;103;43236;1210;16;37
Güssing;104;25699;920;14;37
Jennersdorf;105;17097;620;16;18
Mattersburg;106;40042;1156;20;33
Neusiedl am See;107;59990;1554;26;69
Oberpullendorf;108;37384;1320;16;11
Oberwart;109;54192;1855;51;43
Klagenfurt Stadt;201;101300;3772;109;210
Villach Stadt;202;62882;2014;38;103
Hermagor;203;18054;875;11;102
Klagenfurt Land;204;60014;2225;18;129
Sankt Veit an der Glan;205;54186;2299;71;102
Spittal an der Drau;206;75868;1923;28;157
Villach Land;207;64618;2226;54;123
Völkermarkt;208;41862;2232;40;99
Wolfsberg;209;52607;2252;52;89
Feldkirchen;210;29902;1229;29;86
Krems an der Donau(Stadt);301;25036;857;29;21
Sankt Pölten(Stadt);302;55514;2173;32;59
Waidhofen an der Ybbs(Stadt);303;11222;471;7;47
Wiener Neustadt(Stadt);304;45823;1554;31;42
Amstetten;305;116520;6035;93;340
Baden;306;146751;4250;56;231
Bruck an der Leitha;307;103735;2759;52;101
Gänserndorf;308;104782;2209;26;150
Gmünd;309;36553;1481;31;79
Hollabrunn;310;51033;1154;26;31
Horn;311;30936;609;10;20
Korneuburg;312;91254;2246;24;62
Krems(Land);313;56487;1913;25;37
Lilienfeld;314;25655;947;26;34
Melk;315;78191;3069;63;129
Mistelbach;316;75625;1498;27;49
Mödling;317;119115;3274;56;134
Neunkirchen;318;86343;2689;55;117
Sankt Pölten(Land);319;131729;4158;76;135
Scheibbs;320;41414;2017;23;72
Tulln;321;104593;2864;36;137
Waidhofen an der Thaya;322;25682;824;13;16
Wiener Neustadt(Land);323;78307;2110;29;120
Zwettl;325;41987;1676;14;100
Linz(Stadt);401;206595;8497;157;260
Steyr(Stadt);402;38056;1552;17;70
Wels(Stadt);403;62470;3065;49;85
Braunau am Inn;404;105553;4308;44;184
Eferding;405;33178;2011;25;32
Freistadt;406;66861;3558;68;145
Gmunden;407;101859;4463;57;244
Grieskirchen;408;64875;3692;54;118
Kirchdorf an der Krems;409;57071;2310;46;125
Linz-Land;410;151371;6275;71;155
Perg;411;68968;3509;38;123
Ried im Innkreis;412;61690;3604;70;130
Rohrbach;413;56545;3833;84;129
Schärding;414;57391;3543;55;129
Steyr-Land;415;60717;2989;53;107
Urfahr-Umgebung;416;86005;4607;62;98
Vöcklabruck;417;137297;6488;103;276
Wels-Land;418;73777;2992;39;104
Salzburg(Stadt);501;155021;6124;64;278
Hallein;502;60824;3664;29;275
Salzburg-Umgebung;503;153492;6955;69;351
Sankt Johann im Pongau;504;81194;5214;78;235
Tamsweg;505;20251;1395;28;53
Zell am See;506;87628;4293;64;282
Graz(Stadt);601;291072;8841;195;335
Deutschlandsberg;603;60867;1789;49;137
Graz-Umgebung;606;156070;4639;181;183
Leibnitz;610;84756;2984;66;136
Leoben;611;59700;2005;74;41
Liezen;612;79652;2882;68;203
Murau;614;27543;983;15;51
Voitsberg;616;51044;1886;69;48
Weiz;617;90654;2715;97;73
Murtal;620;71698;2662;110;141
Bruck-Mürzzuschlag;621;98697;3582;147;128
Hartberg-Fürstenfeld;622;90606;3595;125;150
Südoststeiermark;623;84036;2948;109;123
Innsbruck-Stadt;701;131961;6271;79;62
Imst;702;60474;2932;29;88
Innsbruck-Land;703;180453;8853;106;209
Kitzbühel;704;64168;2626;27;97
Kufstein;705;110287;6163;104;119
Landeck;706;44386;2509;30;104
Lienz;707;48738;2533;33;86
Reutte;708;32838;925;3;38
Schwaz;709;84329;6677;96;127
Bludenz;801;64107;2781;37;65
Bregenz;802;134987;6081;77;217
Dornbirn;803;89912;4939;40;176
Feldkirch;804;108133;5184;62;194
Wien;900;1911191;71528;1085;2209
