Time;Bundesland;BundeslandID;AnzEinwohner;AnzahlFaelle;AnzahlFaelleSum;AnzahlFaelle7Tage;SiebenTageInzidenzFaelle;AnzahlTotTaeglich;AnzahlTotSum;AnzahlGeheiltTaeglich;AnzahlGeheiltSum
23.02.2020 00:00:00;Österreich;10;8858775;0;1;0;0;0;0;0;0
24.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Salzburg;5;555221;0;1;0;0;0;0;0;0
24.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
24.02.2020 00:00:00;Österreich;10;8858775;0;1;0;0;0;0;0;0
25.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Salzburg;5;555221;0;1;0;0;0;0;0;0
25.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Wien;9;1897491;0;0;0;0;0;0;0;0
25.02.2020 00:00:00;Österreich;10;8858775;0;1;0;0;0;0;0;0
26.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Salzburg;5;555221;0;1;0;0;0;0;0;0
26.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
26.02.2020 00:00:00;Wien;9;1897491;1;1;0;0;0;0;0;0
26.02.2020 00:00:00;Österreich;10;8858775;1;2;0;0;0;0;0;0
27.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Niederösterreich;3;1677542;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Salzburg;5;555221;0;1;0;0;0;0;0;0
27.02.2020 00:00:00;Steiermark;6;1243052;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
27.02.2020 00:00:00;Wien;9;1897491;2;3;1;0,05270117;0;0;0;0
27.02.2020 00:00:00;Österreich;10;8858775;2;4;1;0,01128824;0;0;0;0
28.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Niederösterreich;3;1677542;2;2;0;0;0;0;0;0
28.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Salzburg;5;555221;0;1;0;0;0;0;0;0
28.02.2020 00:00:00;Steiermark;6;1243052;1;1;0;0;0;0;0;0
28.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
28.02.2020 00:00:00;Wien;9;1897491;1;4;3;0,1581035;0;0;0;0
28.02.2020 00:00:00;Österreich;10;8858775;4;8;3;0,03386473;0;0;0;0
29.02.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Niederösterreich;3;1677542;0;2;2;0,1192221;0;0;0;0
29.02.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Salzburg;5;555221;1;2;0;0;0;0;0;0
29.02.2020 00:00:00;Steiermark;6;1243052;0;1;1;0,08044716;0;0;0;0
29.02.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
29.02.2020 00:00:00;Wien;9;1897491;0;4;4;0,2108047;0;0;0;0
29.02.2020 00:00:00;Österreich;10;8858775;1;9;7;0,0790177;0;0;0;0
01.03.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
01.03.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
01.03.2020 00:00:00;Niederösterreich;3;1677542;0;2;2;0,1192221;0;0;0;0
01.03.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
01.03.2020 00:00:00;Salzburg;5;555221;0;2;1;0,1801085;0;0;0;0
01.03.2020 00:00:00;Steiermark;6;1243052;0;1;1;0,08044716;0;0;0;0
01.03.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
01.03.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
01.03.2020 00:00:00;Wien;9;1897491;4;8;4;0,2108047;0;0;0;0
01.03.2020 00:00:00;Österreich;10;8858775;4;13;8;0,09030594;0;0;0;0
02.03.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
02.03.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
02.03.2020 00:00:00;Niederösterreich;3;1677542;1;3;2;0,1192221;0;0;0;0
02.03.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
02.03.2020 00:00:00;Salzburg;5;555221;1;3;1;0,1801085;0;0;0;0
02.03.2020 00:00:00;Steiermark;6;1243052;2;3;1;0,08044716;0;0;0;0
02.03.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
02.03.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
02.03.2020 00:00:00;Wien;9;1897491;1;9;8;0,4216094;0;0;0;0
02.03.2020 00:00:00;Österreich;10;8858775;5;18;12;0,1354589;0;0;0;0
03.03.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
03.03.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
03.03.2020 00:00:00;Niederösterreich;3;1677542;2;5;3;0,1788331;0;0;0;0
03.03.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
03.03.2020 00:00:00;Salzburg;5;555221;0;3;2;0,3602169;0;0;0;0
03.03.2020 00:00:00;Steiermark;6;1243052;0;3;3;0,2413415;0;0;0;0
03.03.2020 00:00:00;Tirol;7;754705;0;0;0;0;0;0;0;0
03.03.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
03.03.2020 00:00:00;Wien;9;1897491;4;13;9;0,4743105;0;0;0;0
03.03.2020 00:00:00;Österreich;10;8858775;6;24;17;0,1919001;0;0;0;0
04.03.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Kärnten;2;560939;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Niederösterreich;3;1677542;7;12;5;0,2980551;0;0;0;0
04.03.2020 00:00:00;Oberösterreich;4;1482095;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Salzburg;5;555221;1;4;2;0,3602169;0;0;0;0
04.03.2020 00:00:00;Steiermark;6;1243052;1;4;3;0,2413415;0;0;0;0
04.03.2020 00:00:00;Tirol;7;754705;2;2;0;0;0;0;0;0
04.03.2020 00:00:00;Vorarlberg;8;394297;0;0;0;0;0;0;0;0
04.03.2020 00:00:00;Wien;9;1897491;3;16;13;0,6851152;0;0;0;0
04.03.2020 00:00:00;Österreich;10;8858775;14;38;23;0,2596296;0;0;0;0
05.03.2020 00:00:00;Burgenland;1;293433;0;0;0;0;0;0;0;0
05.03.2020 00:00:00;Kärnten;2;560939;1;1;0;0;0;0;0;0
