AltersgruppeID;Altersgruppe;Bundesland;BundeslandID;AnzEinwohner;Geschlecht;Anzahl;AnzahlGeheilt;AnzahlTot
1;<5;Burgenland;1;6271;M;35;32;0
1;<5;Burgenland;1;5908;W;16;13;0
1;<5;Kärnten;2;12224;M;53;36;0
1;<5;Kärnten;2;11683;W;51;37;0
1;<5;Niederösterreich;3;40492;M;153;110;0
1;<5;Niederösterreich;3;38354;W;122;95;0
1;<5;Oberösterreich;4;39650;M;245;235;0
1;<5;Oberösterreich;4;37428;W;214;196;0
1;<5;Salzburg;5;14528;M;115;111;0
1;<5;Salzburg;5;13799;W;81;79;0
1;<5;Steiermark;6;29066;M;123;103;0
1;<5;Steiermark;6;27485;W;100;88;0
1;<5;Tirol;7;19768;M;213;197;0
1;<5;Tirol;7;18326;W;163;151;0
1;<5;Vorarlberg;8;11200;M;90;78;0
1;<5;Vorarlberg;8;10560;W;70;65;0
1;<5;Wien;9;50897;M;463;152;0
1;<5;Wien;9;48196;W;433;139;0
1;<5;Österreich;10;224096;M;1490;1054;0
1;<5;Österreich;10;211739;W;1250;863;0
2;5-14;Burgenland;1;13528;M;290;263;0
2;5-14;Burgenland;1;12962;W;202;186;0
2;5-14;Kärnten;2;26135;M;355;240;0
2;5-14;Kärnten;2;24667;W;331;247;0
2;5-14;Niederösterreich;3;84399;M;1553;1172;0
2;5-14;Niederösterreich;3;80034;W;1382;1042;0
2;5-14;Oberösterreich;4;76223;M;1512;1362;0
2;5-14;Oberösterreich;4;72202;W;1380;1251;0
2;5-14;Salzburg;5;27260;M;969;888;0
2;5-14;Salzburg;5;26109;W;862;794;0
2;5-14;Steiermark;6;56981;M;647;566;0
2;5-14;Steiermark;6;53566;W;571;510;0
2;5-14;Tirol;7;36954;M;1273;1196;0
2;5-14;Tirol;7;35185;W;1257;1184;0
2;5-14;Vorarlberg;8;21371;M;519;488;0
2;5-14;Vorarlberg;8;20345;W;491;450;0
2;5-14;Wien;9;92739;M;2483;707;0
2;5-14;Wien;9;86565;W;2261;632;0
2;5-14;Österreich;10;435590;M;9601;6882;0
2;5-14;Österreich;10;411635;W;8737;6296;0
3;15-24;Burgenland;1;14211;M;617;566;0
3;15-24;Burgenland;1;13131;W;480;418;0
3;15-24;Kärnten;2;28406;M;1284;901;0
3;15-24;Kärnten;2;26320;W;1070;728;0
3;15-24;Niederösterreich;3;89919;M;3796;3094;0
3;15-24;Niederösterreich;3;83156;W;3256;2514;0
3;15-24;Oberösterreich;4;83998;M;4674;4127;0
3;15-24;Oberösterreich;4;78239;W;4491;3976;0
3;15-24;Salzburg;5;31568;M;1994;1792;0
3;15-24;Salzburg;5;29388;W;1768;1603;0
3;15-24;Steiermark;6;66905;M;2269;1953;0
3;15-24;Steiermark;6;62165;W;2270;1928;0
3;15-24;Tirol;7;42988;M;2912;2739;0
3;15-24;Tirol;7;40872;W;2634;2449;0
3;15-24;Vorarlberg;8;23260;M;1415;1263;0
3;15-24;Vorarlberg;8;21284;W;1358;1215;0
3;15-24;Wien;9;110503;M;5682;2149;1
3;15-24;Wien;9;109312;W;5524;1941;0
3;15-24;Österreich;10;491758;M;24643;18584;1
3;15-24;Österreich;10;463867;W;22851;16772;0
4;25-34;Burgenland;1;15869;M;576;502;0
4;25-34;Burgenland;1;15497;W;517;444;0
4;25-34;Kärnten;2;33170;M;1346;844;0
4;25-34;Kärnten;2;32067;W;1290;822;0
4;25-34;Niederösterreich;3;100196;M;3645;2892;0
4;25-34;Niederösterreich;3;96933;W;3465;2638;0
4;25-34;Oberösterreich;4;102058;M;5582;4900;0
4;25-34;Oberösterreich;4;95289;W;5560;4855;1
4;25-34;Salzburg;5;38299;M;1984;1811;1
4;25-34;Salzburg;5;37188;W;1962;1788;0
4;25-34;Steiermark;6;85306;M;2910;2499;0
