Altersgruppe;Anzahl;Timestamp
<5;0;2020-12-23T19:02:00
5-14;0;2020-12-23T19:02:00
15-24;2;2020-12-23T19:02:00
25-34;5;2020-12-23T19:02:00
35-44;12;2020-12-23T19:02:00
45-54;66;2020-12-23T19:02:00
55-64;236;2020-12-23T19:02:00
65-74;699;2020-12-23T19:02:00
75-84;1803;2020-12-23T19:02:00
>84;2409;2020-12-23T19:02:00
