time;Todesfälle;Timestamp
26.02.2020;0;2020-04-22T15:00:00
27.02.2020;0;2020-04-22T15:00:00
28.02.2020;0;2020-04-22T15:00:00
29.02.2020;0;2020-04-22T15:00:00
01.03.2020;0;2020-04-22T15:00:00
02.03.2020;0;2020-04-22T15:00:00
03.03.2020;0;2020-04-22T15:00:00
04.03.2020;0;2020-04-22T15:00:00
05.03.2020;0;2020-04-22T15:00:00
06.03.2020;0;2020-04-22T15:00:00
07.03.2020;0;2020-04-22T15:00:00
08.03.2020;0;2020-04-22T15:00:00
09.03.2020;0;2020-04-22T15:00:00
10.03.2020;0;2020-04-22T15:00:00
11.03.2020;0;2020-04-22T15:00:00
12.03.2020;1;2020-04-22T15:00:00
13.03.2020;1;2020-04-22T15:00:00
14.03.2020;1;2020-04-22T15:00:00
15.03.2020;3;2020-04-22T15:00:00
16.03.2020;5;2020-04-22T15:00:00
17.03.2020;6;2020-04-22T15:00:00
18.03.2020;10;2020-04-22T15:00:00
19.03.2020;13;2020-04-22T15:00:00
20.03.2020;18;2020-04-22T15:00:00
21.03.2020;21;2020-04-22T15:00:00
22.03.2020;29;2020-04-22T15:00:00
23.03.2020;39;2020-04-22T15:00:00
24.03.2020;49;2020-04-22T15:00:00
25.03.2020;58;2020-04-22T15:00:00
26.03.2020;70;2020-04-22T15:00:00
27.03.2020;86;2020-04-22T15:00:00
28.03.2020;101;2020-04-22T15:00:00
29.03.2020;115;2020-04-22T15:00:00
30.03.2020;133;2020-04-22T15:00:00
31.03.2020;149;2020-04-22T15:00:00
01.04.2020;160;2020-04-22T15:00:00
02.04.2020;177;2020-04-22T15:00:00
03.04.2020;192;2020-04-22T15:00:00
04.04.2020;211;2020-04-22T15:00:00
05.04.2020;231;2020-04-22T15:00:00
06.04.2020;253;2020-04-22T15:00:00
07.04.2020;280;2020-04-22T15:00:00
08.04.2020;297;2020-04-22T15:00:00
09.04.2020;313;2020-04-22T15:00:00
10.04.2020;328;2020-04-22T15:00:00
11.04.2020;341;2020-04-22T15:00:00
12.04.2020;351;2020-04-22T15:00:00
13.04.2020;372;2020-04-22T15:00:00
14.04.2020;384;2020-04-22T15:00:00
15.04.2020;397;2020-04-22T15:00:00
16.04.2020;414;2020-04-22T15:00:00
17.04.2020;425;2020-04-22T15:00:00
18.04.2020;439;2020-04-22T15:00:00
19.04.2020;453;2020-04-22T15:00:00
20.04.2020;460;2020-04-22T15:00:00
21.04.2020;472;2020-04-22T15:00:00
22.04.2020;473;2020-04-22T15:00:00
