Datum;BundeslandID;Bevölkerung;Name;EingetrageneImpfungen;EingetrageneImpfungenPro100;Teilgeimpfte;TeilgeimpftePro100;Vollimmunisierte;VollimmunisiertePro100;Gruppe_<25_M_1;Gruppe_<25_W_1;Gruppe_<25_D_1;Gruppe_25-34_M_1;Gruppe_25-34_W_1;Gruppe_25-34_D_1;Gruppe_35-44_M_1;Gruppe_35-44_W_1;Gruppe_35-44_D_1;Gruppe_45-54_M_1;Gruppe_45-54_W_1;Gruppe_45-54_D_1;Gruppe_55-64_M_1;Gruppe_55-64_W_1;Gruppe_55-64_D_1;Gruppe_65-74_M_1;Gruppe_65-74_W_1;Gruppe_65-74_D_1;Gruppe_75-84_M_1;Gruppe_75-84_W_1;Gruppe_75-84_D_1;Gruppe_>84_M_1;Gruppe_>84_W_1;Gruppe_>84_D_1;Gruppe_<25_M_2;Gruppe_<25_W_2;Gruppe_<25_D_2;Gruppe_25-34_M_2;Gruppe_25-34_W_2;Gruppe_25-34_D_2;Gruppe_35-44_M_2;Gruppe_35-44_W_2;Gruppe_35-44_D_2;Gruppe_45-54_M_2;Gruppe_45-54_W_2;Gruppe_45-54_D_2;Gruppe_55-64_M_2;Gruppe_55-64_W_2;Gruppe_55-64_D_2;Gruppe_65-74_M_2;Gruppe_65-74_W_2;Gruppe_65-74_D_2;Gruppe_75-84_M_2;Gruppe_75-84_W_2;Gruppe_75-84_D_2;Gruppe_>84_M_2;Gruppe_>84_W_2;Gruppe_>84_D_2;Gruppe_NichtZuordenbar;EingetrageneImpfungenBioNTechPfizer_1;EingetrageneImpfungenModerna_1;EingetrageneImpfungenAstraZeneca_1;EingetrageneImpfungenBioNTechPfizer_2;EingetrageneImpfungenModerna_2;EingetrageneImpfungenAstraZeneca_2;EingetrageneImpfungenJanssen
2020-12-28T23:59:59+01:00;3;1684287;Niederösterreich;861;0.05;861;0.05;0;0.00;9;7;0;18;28;0;34;51;0;40;119;0;49;83;0;33;43;0;43;101;0;29;174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;861;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;4;1490279;Oberösterreich;15;0.00;15;0.00;0;0.00;1;1;0;0;0;0;1;1;0;0;0;0;0;3;0;0;1;0;0;2;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;5;558410;Salzburg;84;0.02;84;0.02;0;0.00;1;0;0;2;3;0;7;4;0;5;7;0;4;9;0;1;0;0;8;12;0;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;6;1246395;Steiermark;20;0.00;20;0.00;0;0.00;0;1;0;1;0;0;1;1;0;2;0;0;3;5;0;2;1;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;7;757634;Tirol;92;0.01;92;0.01;0;0.00;3;0;0;0;6;0;4;7;0;10;11;0;4;12;0;3;3;0;6;5;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;8;397139;Vorarlberg;278;0.07;278;0.07;0;0.00;7;4;0;5;12;0;10;27;0;16;41;0;23;44;0;19;14;0;9;20;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;9;1911191;Wien;500;0.03;500;0.03;0;0.00;8;4;0;37;26;0;20;28;0;20;68;0;23;41;0;23;22;0;25;50;0;29;76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;500;0;0;0;0;0;0
2020-12-28T23:59:59+01:00;10;8901064;Österreich;2032;0.02;2032;0.02;0;0.00;29;17;0;64;77;0;83;126;0;103;254;0;112;207;0;92;92;0;102;217;0;93;364;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2032;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;0;;KeineZuordnung;181;;181;;0;;0;0;0;0;2;0;2;9;0;5;11;0;2;8;0;6;4;0;15;28;0;21;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;181;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;1;294436;Burgenland;114;0.04;114;0.04;0;0.00;0;0;0;1;3;0;8;8;0;6;9;0;6;7;0;7;6;0;6;16;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;114;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;2;561293;Kärnten;3;0.00;3;0.00;0;0.00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;3;1684287;Niederösterreich;1680;0.10;1680;0.10;0;0.00;23;13;0;41;59;0;76;103;0;87;228;0;132;164;0;69;76;0;78;173;0;57;301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1680;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;4;1490279;Oberösterreich;51;0.00;51;0.00;0;0.00;2;2;0;0;0;0;3;5;0;1;3;0;2;5;0;3;2;0;3;9;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;5;558410;Salzburg;84;0.02;84;0.02;0;0.00;1;0;0;2;3;0;7;4;0;5;7;0;4;9;0;1;0;0;8;12;0;6;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;6;1246395;Steiermark;51;0.00;51;0.00;0;0.00;0;1;0;1;0;0;1;2;0;4;1;0;4;5;0;3;4;0;6;7;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;7;757634;Tirol;92;0.01;92;0.01;0;0.00;3;0;0;0;6;0;4;7;0;10;11;0;4;12;0;3;3;0;6;5;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;8;397139;Vorarlberg;278;0.07;278;0.07;0;0.00;7;4;0;5;12;0;10;27;0;16;41;0;23;44;0;19;14;0;9;20;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;9;1911191;Wien;1119;0.06;1119;0.06;0;0.00;20;5;0;63;58;0;35;57;0;49;136;0;62;89;0;47;50;0;68;141;0;49;190;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1119;0;0;0;0;0;0
2020-12-29T23:59:59+01:00;10;8901064;Österreich;3653;0.04;3653;0.04;0;0.00;56;25;0;113;143;0;146;222;0;184;447;0;239;343;0;159;159;0;199;412;0;152;654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3653;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;0;;KeineZuordnung;237;;237;;0;;0;0;0;0;2;0;3;11;0;5;15;0;3;10;0;13;6;0;21;33;0;31;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;1;294436;Burgenland;121;0.04;121;0.04;0;0.00;0;0;0;1;3;0;11;8;0;7;9;0;7;9;0;7;6;0;6;16;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;2;561293;Kärnten;3;0.00;3;0.00;0;0.00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;3;1684287;Niederösterreich;2227;0.13;2227;0.13;0;0.00;28;19;0;61;83;0;96;169;0;119;322;0;182;212;0;88;90;0;102;207;0;71;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2227;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;4;1490279;Oberösterreich;60;0.00;60;0.00;0;0.00;2;2;0;1;0;0;3;6;0;1;3;0;2;5;0;5;4;0;4;9;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;5;558410;Salzburg;94;0.02;94;0.02;0;0.00;1;0;0;2;5;0;7;4;0;5;7;0;4;9;0;1;1;0;11;15;0;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;6;1246395;Steiermark;55;0.00;55;0.00;0;0.00;0;2;0;1;0;0;1;3;0;4;2;0;5;5;0;3;4;0;6;7;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;7;757634;Tirol;92;0.01;92;0.01;0;0.00;3;0;0;0;6;0;4;7;0;10;11;0;4;12;0;3;3;0;6;5;0;2;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;8;397139;Vorarlberg;278;0.07;278;0.07;0;0.00;7;4;0;5;12;0;10;27;0;16;41;0;23;44;0;19;14;0;9;20;0;7;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;278;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;9;1911191;Wien;1838;0.10;1838;0.10;0;0.00;38;9;0;89;78;0;58;93;0;85;211;0;110;139;0;102;119;0;116;231;0;79;281;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1838;0;0;0;0;0;0
2020-12-30T23:59:59+01:00;10;8901064;Österreich;5005;0.06;5005;0.06;0;0.00;79;36;0;160;189;0;193;328;0;253;621;0;340;445;0;242;247;0;281;544;0;208;839;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5005;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;0;;KeineZuordnung;237;;237;;0;;0;0;0;0;2;0;3;11;0;5;15;0;3;10;0;13;6;0;21;33;0;31;84;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;1;294436;Burgenland;121;0.04;121;0.04;0;0.00;0;0;0;1;3;0;11;8;0;7;9;0;7;9;0;7;6;0;6;16;0;7;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;121;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;2;561293;Kärnten;3;0.00;3;0.00;0;0.00;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;3;1684287;Niederösterreich;2234;0.13;2234;0.13;0;0.00;29;19;0;61;85;0;97;171;0;119;323;0;182;212;0;88;90;0;102;207;0;71;378;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2234;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;4;1490279;Oberösterreich;60;0.00;60;0.00;0;0.00;2;2;0;1;0;0;3;6;0;1;3;0;2;5;0;5;4;0;4;9;0;4;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;5;558410;Salzburg;94;0.02;94;0.02;0;0.00;1;0;0;2;5;0;7;4;0;5;7;0;4;9;0;1;1;0;11;15;0;7;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94;0;0;0;0;0;0
2020-12-31T23:59:59+01:00;6;1246395;Steiermark;55;0.00;55;0.00;0;0.00;0;2;0;1;0;0;1;3;0;4;2;0;5;5;0;3;4;0;6;7;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0
