Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14637;68;0;18
Rust(Stadt);102;1940;4;0;1
Eisenstadt-Umgebung;103;42927;223;4;66
Güssing;104;25797;132;0;21
Jennersdorf;105;17066;38;0;13
Mattersburg;106;39925;219;1;48
Neusiedl am See;107;59552;416;7;58
Oberpullendorf;108;37513;177;1;62
Oberwart;109;54076;377;5;69
Klagenfurt Stadt;201;100817;464;3;154
Villach Stadt;202;62243;199;0;54
Hermagor;203;18224;83;0;22
Klagenfurt Land;204;59800;182;2;42
Sankt Veit an der Glan;205;54555;206;0;36
Spittal an der Drau;206;76091;129;1;26
Villach Land;207;64668;183;3;29
Völkermarkt;208;41878;205;4;46
Wolfsberg;209;52726;156;1;52
Feldkirchen;210;29937;62;0;14
Krems an der Donau(Stadt);301;24876;205;5;45
Sankt Pölten(Stadt);302;55044;475;9;73
Waidhofen an der Ybbs(Stadt);303;11261;61;3;21
Wiener Neustadt(Stadt);304;45277;438;0;120
Amstetten;305;116114;713;16;210
Baden;306;146203;1079;7;208
Bruck an der Leitha;307;102010;775;5;170
Gänserndorf;308;103686;732;7;113
Gmünd;309;36773;243;1;75
Hollabrunn;310;50858;175;2;40
Horn;311;31090;151;5;16
Korneuburg;312;90889;750;6;169
Krems(Land);313;56596;464;8;78
Lilienfeld;314;25812;191;5;66
Melk;315;77962;507;5;75
Mistelbach;316;75483;466;7;43
Mödling;317;118998;1007;13;207
Neunkirchen;318;86291;663;9;80
Sankt Pölten(Land);319;131044;938;11;189
Scheibbs;320;41403;218;2;32
Tulln;321;103771;735;6;207
Waidhofen an der Thaya;322;25888;234;2;50
Wiener Neustadt(Land);323;77991;440;9;89
Zwettl;325;42222;302;2;60
Linz(Stadt);401;205726;2083;24;342
Steyr(Stadt);402;38193;311;2;86
Wels(Stadt);403;61727;754;1;183
Braunau am Inn;404;104408;547;7;98
Eferding;405;33156;265;6;100
Freistadt;406;66621;507;6;144
Gmunden;407;101631;698;3;196
Grieskirchen;408;64721;541;1;226
Kirchdorf an der Krems;409;56866;232;3;62
Linz-Land;410;150273;1332;11;200
Perg;411;68459;570;4;75
Ried im Innkreis;412;61204;623;1;209
Rohrbach;413;56524;504;1;130
Schärding;414;57307;446;1;180
Steyr-Land;415;60427;449;7;96
Urfahr-Umgebung;416;85505;662;6;100
Vöcklabruck;417;136253;1023;4;287
Wels-Land;418;73094;505;1;123
Salzburg(Stadt);501;154211;1034;4;291
Hallein;502;60374;900;3;296
Salzburg-Umgebung;503;152281;1241;12;446
Sankt Johann im Pongau;504;80573;1081;18;286
Tamsweg;505;20320;112;1;40
Zell am See;506;87462;721;9;179
Graz(Stadt);601;288806;1978;56;425
Deutschlandsberg;603;60821;199;3;70
Graz-Umgebung;606;154260;799;41;216
Leibnitz;610;82484;443;9;116
Leoben;611;60060;294;3;100
Liezen;612;79901;389;2;129
Murau;614;27659;50;0;8
Voitsberg;616;51161;314;7;81
Weiz;617;90343;454;18;80
Murtal;620;72004;273;2;86
Bruck-Mürzzuschlag;621;98984;342;14;94
Hartberg-Fürstenfeld;622;90622;564;44;98
Südoststeiermark;623;85947;216;2;84
Innsbruck-Stadt;701;132110;2314;11;468
Imst;702;60056;740;6;154
Innsbruck-Land;703;179318;1945;14;404
Kitzbühel;704;63881;577;11;67
Kufstein;705;109682;1322;36;206
Landeck;706;44362;1374;17;107
Lienz;707;48753;279;6;74
Reutte;708;32670;181;1;43
Schwaz;709;83873;1355;15;341
Bludenz;801;63714;676;6;123
Bregenz;802;134383;1182;12;313
Dornbirn;803;89041;930;6;290
Feldkirch;804;107159;1074;4;284
Wien;900;1897491;26880;319;4002
