Bezirk;Anzahl;Anzahl_Inzidenz;GKZ;Timestamp
Amstetten;5114;4404,29233339649;305;2020-12-14T23:02:00
Baden;3819;2612,12150229475;306;2020-12-14T23:02:00
Bludenz;2610;4096,43092569922;801;2020-12-14T23:02:00
Braunau am Inn;3890;3725,76814037239;404;2020-12-14T23:02:00
Bregenz;5627;4187,28559415998;802;2020-12-14T23:02:00
Bruck an der Leitha;2534;2484,07018919714;307;2020-12-14T23:02:00
Bruck-Mürzzuschlag;3262;3295,48209811687;621;2020-12-14T23:02:00
Deutschlandsberg;1436;2361,02661909538;603;2020-12-14T23:02:00
Dornbirn;4514;5069,5746903112;803;2020-12-14T23:02:00
Eferding;1941;5854,14404632646;405;2020-12-14T23:02:00
Eisenstadt(Stadt);423;2889,93646238983;101;2020-12-14T23:02:00
Eisenstadt-Umgebung;1134;2641,69403871689;103;2020-12-14T23:02:00
Feldkirch;4735;4418,66758741683;804;2020-12-14T23:02:00
Feldkirchen;1010;3373,75154491098;210;2020-12-14T23:02:00
Freistadt;3315;4975,90849732066;406;2020-12-14T23:02:00
Gänserndorf;1925;1856,56694249947;308;2020-12-14T23:02:00
Gmünd;1338;3638,53914556876;309;2020-12-14T23:02:00
Gmunden;3936;3872,8340762169;407;2020-12-14T23:02:00
Graz(Stadt);8373;2899,177994917;601;2020-12-14T23:02:00
Graz-Umgebung;4159;2696,0974977311;606;2020-12-14T23:02:00
Grieskirchen;3494;5398,55688261924;408;2020-12-14T23:02:00
Güssing;807;3128,27072915455;104;2020-12-14T23:02:00
Hallein;3243;5371,5175406632;502;2020-12-14T23:02:00
Hartberg-Fürstenfeld;3209;3541,08273929068;622;2020-12-14T23:02:00
Hermagor;672;3687,44512730465;203;2020-12-14T23:02:00
Hollabrunn;1088;2139,28978725078;310;2020-12-14T23:02:00
Horn;547;1759,40816982953;311;2020-12-14T23:02:00
Imst;2651;4414,2134008259;702;2020-12-14T23:02:00
Innsbruck-Land;8345;4653,74362863739;703;2020-12-14T23:02:00
Innsbruck-Stadt;6104;4620,39209749451;701;2020-12-14T23:02:00
Jennersdorf;567;3322,39540607055;105;2020-12-14T23:02:00
Kirchdorf an der Krems;2039;3585,62234023846;409;2020-12-14T23:02:00
Kitzbühel;2379;3724,11202078865;704;2020-12-14T23:02:00
Klagenfurt Land;1894;3167,22408026756;204;2020-12-14T23:02:00
Klagenfurt Stadt;3509;3480,56379380462;201;2020-12-14T23:02:00
Korneuburg;2164;2380,92618468682;312;2020-12-14T23:02:00
Krems an der Donau(Stadt);834;3352,62904003859;301;2020-12-14T23:02:00
Krems(Land);1775;3136,26404692911;313;2020-12-14T23:02:00
Kufstein;5935;5411,09753651465;705;2020-12-14T23:02:00
Landeck;2295;5173,34655786484;706;2020-12-14T23:02:00
Leibnitz;2690;3261,23854323263;610;2020-12-14T23:02:00
Leoben;1854;3086,91308691309;611;2020-12-14T23:02:00
Lienz;2281;4678,68643980883;707;2020-12-14T23:02:00
Liezen (inkl. Gröbming);2503;3132,62662544899;612;2020-12-14T23:02:00
Lilienfeld;880;3409,26700759337;314;2020-12-14T23:02:00
Linz(Stadt);7886;3833,25393970621;401;2020-12-14T23:02:00
Linz-Land;5926;3943,48951574801;410;2020-12-14T23:02:00
Mattersburg;1068;2675,01565435191;106;2020-12-14T23:02:00
Melk;2723;3492,7272260845;315;2020-12-14T23:02:00
Mistelbach;1402;1857,37185856418;316;2020-12-14T23:02:00
Mödling;3013;2531,97532731643;317;2020-12-14T23:02:00
Murau;876;3167,14270219458;614;2020-12-14T23:02:00
Murtal;2333;3240,09777234598;620;2020-12-14T23:02:00
Neunkirchen;2366;2741,88501697744;318;2020-12-14T23:02:00
Neusiedl am See;1420;2384,47071466953;107;2020-12-14T23:02:00
Oberpullendorf;1244;3316,18372297603;108;2020-12-14T23:02:00
Oberwart;1713;3167,76388786153;109;2020-12-14T23:02:00
Perg;3246;4741,52412392819;411;2020-12-14T23:02:00
Reutte;831;2543,61799816345;708;2020-12-14T23:02:00
Ried im Innkreis;3401;5556,82635121887;412;2020-12-14T23:02:00
Rohrbach;3622;6407,89753025264;413;2020-12-14T23:02:00
Rust(Stadt);50;2577,31958762887;102;2020-12-14T23:02:00
Salzburg(Stadt);5657;3668,35050677319;501;2020-12-14T23:02:00
Salzburg-Umgebung;6248;4102,94127304129;503;2020-12-14T23:02:00
