Bezirk;GKZ;AnzEinwohner;Anzahl;AnzahlTot;AnzahlFaelle7Tage
Eisenstadt(Stadt);101;14816;935;11;9
Rust(Stadt);102;1980;74;0;1
Eisenstadt-Umgebung;103;43236;2318;25;38
Güssing;104;25699;1819;53;31
Jennersdorf;105;17097;1288;25;22
Mattersburg;106;40042;2236;32;28
Neusiedl am See;107;59990;3221;39;40
Oberpullendorf;108;37384;2228;42;17
Oberwart;109;54192;3612;87;60
Klagenfurt Stadt;201;101300;6071;157;132
Villach Stadt;202;62882;3737;68;128
Hermagor;203;18054;1862;28;4
Klagenfurt Land;204;60014;4076;65;88
Sankt Veit an der Glan;205;54186;3847;97;61
Spittal an der Drau;206;75868;5574;119;192
Villach Land;207;64618;4322;79;68
Völkermarkt;208;41862;3582;61;74
Wolfsberg;209;52607;3388;73;32
Feldkirchen;210;29902;2311;52;58
Krems an der Donau(Stadt);301;25036;1343;28;25
Sankt Pölten(Stadt);302;55514;3670;55;95
Waidhofen an der Ybbs(Stadt);303;11222;877;14;9
Wiener Neustadt(Stadt);304;45823;3804;85;35
Amstetten;305;116520;9702;128;154
Baden;306;146751;9672;122;118
Bruck an der Leitha;307;103735;5927;85;90
Gänserndorf;308;104782;5646;64;94
Gmünd;309;36553;2652;43;29
Hollabrunn;310;51033;2532;52;38
Horn;311;30936;1479;26;40
Korneuburg;312;91254;4208;49;58
Krems(Land);313;56487;3193;40;68
Lilienfeld;314;25655;1566;39;48
Melk;315;78191;5630;101;92
Mistelbach;316;75625;3658;34;50
Mödling;317;119115;6262;114;68
Neunkirchen;318;86343;5841;97;79
Sankt Pölten(Land);319;131729;7522;133;145
Scheibbs;320;41414;3709;42;59
Tulln;321;104593;5260;82;70
Waidhofen an der Thaya;322;25682;1670;14;10
Wiener Neustadt(Land);323;78307;5131;92;48
Zwettl;325;41987;3261;37;24
Linz(Stadt);401;206595;13097;216;354
Steyr(Stadt);402;38056;2320;18;75
Wels(Stadt);403;62470;5346;69;143
Braunau am Inn;404;105553;8821;105;199
Eferding;405;33178;2725;33;35
Freistadt;406;66861;5348;93;97
Gmunden;407;101859;7590;105;99
Grieskirchen;408;64875;5102;68;97
Kirchdorf an der Krems;409;57071;4056;81;67
Linz-Land;410;151371;9775;86;214
Perg;411;68968;5667;71;75
Ried im Innkreis;412;61690;5772;98;99
Rohrbach;413;56545;5052;96;43
Schärding;414;57391;5251;69;68
Steyr-Land;415;60717;4119;68;72
Urfahr-Umgebung;416;86005;5972;73;56
Vöcklabruck;417;137297;11188;153;277
Wels-Land;418;73777;5436;61;147
Salzburg(Stadt);501;155021;11411;135;199
Hallein;502;60824;6464;63;176
Salzburg-Umgebung;503;153492;12202;119;185
Sankt Johann im Pongau;504;81194;9401;114;117
Tamsweg;505;20251;2451;40;26
Zell am See;506;87628;7156;105;87
Graz(Stadt);601;291072;15465;292;431
Deutschlandsberg;603;60867;3842;107;134
Graz-Umgebung;606;156070;8329;244;175
Leibnitz;610;84756;5689;110;140
Leoben;611;59700;3256;109;40
Liezen;612;79652;5309;112;87
Murau;614;27543;1884;29;69
Voitsberg;616;51044;3250;111;112
Weiz;617;90654;5815;143;207
Murtal;620;71698;4738;164;183
Bruck-Mürzzuschlag;621;98697;5884;245;87
Hartberg-Fürstenfeld;622;90606;7077;181;193
Südoststeiermark;623;84036;5805;169;140
Innsbruck-Stadt;701;131961;9292;95;262
Imst;702;60474;4822;37;187
Innsbruck-Land;703;180453;13197;136;309
Kitzbühel;704;64168;4354;42;61
Kufstein;705;110287;9268;137;205
Landeck;706;44386;3526;47;45
Lienz;707;48738;5181;46;126
Reutte;708;32838;1947;6;82
Schwaz;709;84329;8966;131;31
Bludenz;801;64107;4017;46;80
Bregenz;802;134987;9153;102;356
Dornbirn;803;89912;7237;71;202
Feldkirch;804;108133;7850;76;256
Wien;900;1911191;132940;2223;2666
